signature_set,metric,n_donors,rho_vs_stage,ci_lo,ci_hi,p_spearman,perm_p,jt_z,jt_perm_p,expected_direction
unsupervised_full,coord_spread,47,-0.42123421459363974,-0.6371413629975397,-0.15392173395855527,0.0031918926551998466,0.0034982508745627187,-2.881230535549647,0.0034982508745627187,down
unsupervised_full,coord_iqr,47,-0.40982860713103086,-0.6514792538901942,-0.13332562770602374,0.0042253931833373245,0.005497251374312844,-2.881230535549647,0.0024987506246876563,down
unsupervised_full,pc_pp_anticorr,47,0.1961506729727764,-0.08962153036301004,0.4494963263762328,0.1863648629546146,0.1969015492253873,1.3432071179964546,0.1774112943528236,toward 0
unsupervised_full,mean_entropy,47,-0.3338556625072124,-0.6395310076612564,0.015270116818753818,0.021824675581385598,0.022488755622188907,-2.2865281474290793,0.02048975512243878,up
