group,nD,medCells,PC,PP,dual,null,PPtoPC,polarized,middle
NAS 1-2,7,713,0.2656391659111514,0.2005610098176718,0.11805555555555555,0.3523654159869494,0.9351535836177475,0.4590395480225989,0.5409604519774012
NAS 3-4,10,721,0.22836239162095065,0.1875902418038342,0.05391581470971183,0.514404321884737,0.9356796116504855,0.4298312448041173,0.5701687551958827
NAS 5-7,21,769,0.19767441860465115,0.23228070175438598,0.09064609450337512,0.3401360544217687,1.115294117647059,0.44026548672566373,0.5597345132743363
