variant,cls,group,frac
PP excl ALDOB (2of3),null,F4-biopsy,0.5689262189734116
PP excl ALDOB (2of3),null,Explant(end),0.34760398929700803
PP=CPS1/ALDOB/ASS1 (2of3),PC,Healthy,0.12503870394230865
PP=CPS1/ALDOB/ASS1 (2of3),PC,F0-biopsy,0.21704643375126031
PP=CPS1/ALDOB/ASS1 (2of3),PC,F1-biopsy,0.1025505261621349
PP=CPS1/ALDOB/ASS1 (2of3),PC,F2-biopsy,0.1567522394972739
PP=CPS1/ALDOB/ASS1 (2of3),PC,F3-biopsy,0.12605194674052228
PP=CPS1/ALDOB/ASS1 (2of3),PC,F4-biopsy,0.12816792513454894
PP=CPS1/ALDOB/ASS1 (2of3),PC,Explant(end),0.09438092921430309
PP=CPS1/ALDOB/ASS1 (2of3),PP,Healthy,0.2924709844248
PP=CPS1/ALDOB/ASS1 (2of3),PP,F0-biopsy,0.31180991511830364
PP=CPS1/ALDOB/ASS1 (2of3),PP,F1-biopsy,0.37495000761305386
PP=CPS1/ALDOB/ASS1 (2of3),PP,F2-biopsy,0.4072778644444883
PP=CPS1/ALDOB/ASS1 (2of3),PP,F3-biopsy,0.42079797301422556
PP=CPS1/ALDOB/ASS1 (2of3),PP,F4-biopsy,0.4337316702042082
PP=CPS1/ALDOB/ASS1 (2of3),PP,Explant(end),0.3933673469387755
PP=CPS1/ALDOB/ASS1 (2of3),dual,Healthy,0.16668823332599353
PP=CPS1/ALDOB/ASS1 (2of3),dual,F0-biopsy,0.22981710423510138
PP=CPS1/ALDOB/ASS1 (2of3),dual,F1-biopsy,0.14722222222222223
PP=CPS1/ALDOB/ASS1 (2of3),dual,F2-biopsy,0.1953846095637352
PP=CPS1/ALDOB/ASS1 (2of3),dual,F3-biopsy,0.13873341625207297
PP=CPS1/ALDOB/ASS1 (2of3),dual,F4-biopsy,0.19612396902470464
PP=CPS1/ALDOB/ASS1 (2of3),dual,Explant(end),0.18724489795918367
PP=CPS1/ALDOB/ASS1 (2of3),null,Healthy,0.25491040661612685
PP=CPS1/ALDOB/ASS1 (2of3),null,F0-biopsy,0.24132654689533464
PP=CPS1/ALDOB/ASS1 (2of3),null,F1-biopsy,0.28296673891183993
PP=CPS1/ALDOB/ASS1 (2of3),null,F2-biopsy,0.22794688756804432
PP=CPS1/ALDOB/ASS1 (2of3),null,F3-biopsy,0.23751971957049503
PP=CPS1/ALDOB/ASS1 (2of3),null,F4-biopsy,0.24448391084674098
PP=CPS1/ALDOB/ASS1 (2of3),null,Explant(end),0.2059748427672956
strict identity PC2of2 PP3of4,PC,Healthy,0.022974211518168898
strict identity PC2of2 PP3of4,PC,F0-biopsy,0.046815547499352836
strict identity PC2of2 PP3of4,PC,F1-biopsy,0.027713946462288072
strict identity PC2of2 PP3of4,PC,F2-biopsy,0.04018467852257182
strict identity PC2of2 PP3of4,PC,F3-biopsy,0.02103075284389036
strict identity PC2of2 PP3of4,PC,F4-biopsy,0.030790625753072537
strict identity PC2of2 PP3of4,PC,Explant(end),0.019387755102040816
strict identity PC2of2 PP3of4,PP,Healthy,0.054883840851110026
strict identity PC2of2 PP3of4,PP,F0-biopsy,0.05967250629727388
strict identity PC2of2 PP3of4,PP,F1-biopsy,0.0669298457087753
strict identity PC2of2 PP3of4,PP,F2-biopsy,0.07669817740299942
strict identity PC2of2 PP3of4,PP,F3-biopsy,0.09514477722738339
strict identity PC2of2 PP3of4,PP,F4-biopsy,0.06417455200859588
strict identity PC2of2 PP3of4,PP,Explant(end),0.3495473747736874
strict identity PC2of2 PP3of4,dual,Healthy,0.0
strict identity PC2of2 PP3of4,dual,F0-biopsy,0.0015585087960888935
strict identity PC2of2 PP3of4,dual,F1-biopsy,0.0005300244520293927
strict identity PC2of2 PP3of4,dual,F2-biopsy,0.0008311246731151347
strict identity PC2of2 PP3of4,dual,F3-biopsy,0.0
strict identity PC2of2 PP3of4,dual,F4-biopsy,0.0010570824524312897
strict identity PC2of2 PP3of4,dual,Explant(end),0.004591836734693878
strict identity PC2of2 PP3of4,null,Healthy,0.9233770287141074
strict identity PC2of2 PP3of4,null,F0-biopsy,0.8919534374072844
strict identity PC2of2 PP3of4,null,F1-biopsy,0.8871866348198008
strict identity PC2of2 PP3of4,null,F2-biopsy,0.8645315256170506
strict identity PC2of2 PP3of4,null,F3-biopsy,0.868887210123632
strict identity PC2of2 PP3of4,null,F4-biopsy,0.8942466659318857
strict identity PC2of2 PP3of4,null,Explant(end),0.6125030406227195
