axis,level,program,bin,coord_mid,mean_expr,sem,n_donors,slope
stage,Healthy,PC,0,-4.467476349070802,0.6011152997653364,0.0897665106971836,4,0.12553057284827768
stage,Healthy,PC,1,-1.9603769606098451,0.638093003529467,0.07690378363315974,4,0.12553057284827768
stage,Healthy,PC,2,-1.5156741757224914,0.6512631465344957,0.05534512085743614,4,0.12553057284827768
stage,Healthy,PC,3,-1.1661194898716438,0.6729412218051048,0.04348962704400269,4,0.12553057284827768
stage,Healthy,PC,4,-0.8643681640032277,0.7342044046275905,0.05159441120636271,4,0.12553057284827768
stage,Healthy,PC,5,-0.5880345642986102,0.7505224505752989,0.04881830324146757,4,0.12553057284827768
stage,Healthy,PC,6,-0.32701056004417123,0.8204043517811868,0.04390614882963576,4,0.12553057284827768
stage,Healthy,PC,7,-0.06861412787854097,0.9175943806681088,0.04358484597650117,4,0.12553057284827768
stage,Healthy,PC,8,0.19818656918959845,0.920673159451064,0.050706465658784595,4,0.12553057284827768
stage,Healthy,PC,9,0.4762642226924544,0.9239236046477696,0.06616762972708867,4,0.12553057284827768
stage,Healthy,PC,10,0.7823616059884713,1.0155566077241354,0.08624140634985654,4,0.12553057284827768
stage,Healthy,PC,11,1.135681259527008,1.0714094868222366,0.068115134984075,4,0.12553057284827768
stage,Healthy,PC,12,1.5517727774439234,1.2489213850046232,0.014733865786245968,3,0.12553057284827768
stage,Healthy,PC,13,2.0862126457809085,1.3463706524925134,0.0169318740385898,3,0.12553057284827768
stage,Healthy,PC,14,4.223182751106757,1.4744971123165698,0.04625963709615327,3,0.12553057284827768
stage,Healthy,PP,0,-4.467476349070802,1.588752646830438,0.0488901654822254,4,-0.11774504592003718
stage,Healthy,PP,1,-1.9603769606098451,1.4241448245751527,0.050897797610763705,4,-0.11774504592003718
stage,Healthy,PP,2,-1.5156741757224914,1.3204928416786272,0.031079634575839992,4,-0.11774504592003718
stage,Healthy,PP,3,-1.1661194898716438,1.2283618615604621,0.027730687915315206,4,-0.11774504592003718
stage,Healthy,PP,4,-0.8643681640032277,1.1824519675092275,0.03509354224527119,4,-0.11774504592003718
stage,Healthy,PP,5,-0.5880345642986102,1.1339488882179243,0.038215629962666094,4,-0.11774504592003718
stage,Healthy,PP,6,-0.32701056004417123,1.1046871909337705,0.03281416632776207,4,-0.11774504592003718
stage,Healthy,PP,7,-0.06861412787854097,1.1167472539958774,0.029807386932450497,4,-0.11774504592003718
stage,Healthy,PP,8,0.19818656918959845,1.0498222899293506,0.04052265491237292,4,-0.11774504592003718
stage,Healthy,PP,9,0.4762642226924544,0.9746213261435476,0.041967380039179415,4,-0.11774504592003718
stage,Healthy,PP,10,0.7823616059884713,0.9335922845349062,0.0681928752633962,4,-0.11774504592003718
stage,Healthy,PP,11,1.135681259527008,0.904634554441768,0.029398070491016958,4,-0.11774504592003718
stage,Healthy,PP,12,1.5517727774439234,0.9041211435456518,0.021177728384914843,3,-0.11774504592003718
stage,Healthy,PP,13,2.0862126457809085,0.8395694395267128,0.020889132583069417,3,-0.11774504592003718
stage,Healthy,PP,14,4.223182751106757,0.66099049983327,0.01003316770900775,3,-0.11774504592003718
stage,NAFLD,PC,0,-4.467476349070802,0.6520886732409804,0.030329587679418745,7,0.11180914515008196
stage,NAFLD,PC,1,-1.9603769606098451,0.7326291282144203,0.035832977376591135,7,0.11180914515008196
stage,NAFLD,PC,2,-1.5156741757224914,0.8002503701299564,0.022953281407813934,7,0.11180914515008196
stage,NAFLD,PC,3,-1.1661194898716438,0.798145486413017,0.0250010555243371,7,0.11180914515008196
stage,NAFLD,PC,4,-0.8643681640032277,0.8653890311872757,0.03479396595518636,7,0.11180914515008196
stage,NAFLD,PC,5,-0.5880345642986102,0.8839889935330234,0.03036119048675339,7,0.11180914515008196
stage,NAFLD,PC,6,-0.32701056004417123,0.9353904966049527,0.03339527655106454,7,0.11180914515008196
