"gene_set","NGenes","Direction_decontamCPM","PValue_decontamCPM","FDR_decontamCPM","Direction_decontamTMM","PValue_decontamTMM","FDR_decontamTMM"
"xenobiotic_CYP",13,"Down",1.75620950239814e-07,8.78104751199068e-07,"Down",5.33073468541199e-07,2.665367342706e-06
"pericentral_anchors",20,"Down",5.32506222207446e-05,0.000133126555551861,"Down",0.000117020575599591,0.000292551438998977
"periportal_anchors",20,"Up",0.00871523294213226,0.0108940411776653,"Up",0.00372777712836931,0.00621296188061551
"detox_phase2",16,"Down",0.00417466713072809,0.00695777855121348,"Down",0.00639778250699093,0.00799722813373866
"urea_cycle",9,"Down",0.0993911829143645,0.0993911829143645,"Down",0.105713808967661,0.105713808967661
