signature_set,metric,n_donors,rho_vs_stage,ci_lo,ci_hi,p_spearman,perm_p,expected_direction
full,coord_spread,47,0.02100693803847737,-0.2591397278383984,0.29804576424067525,0.888538576659989,0.8825587206396801,down
full,coord_iqr,47,-0.04362483758297294,-0.3552170080273096,0.24970840727653962,0.7709274144886474,0.7821089455272364,down
full,pc_pp_anticorr,47,0.006508284484313541,-0.29484805811635484,0.3054232186500228,0.9653687253961448,0.967016491754123,toward 0
full,mean_entropy,47,-0.3338556625072124,-0.6395310076612564,0.015270116818753818,0.021824675581385598,0.022488755622188907,up
