signature_set,stage,stage_rank,n_cells,n_donors,pc_pp_anticorr,coord_spread_std,coord_iqr,coherence_pc,coherence_pp,splithalf_rho_mean,splithalf_rho_lo,splithalf_rho_hi,mean_pc_score,mean_pp_score
unsupervised_top50,Healthy control,0,3750,4,-0.3060469969668976,2.0375419268617634,2.671086903103628,0.12079559619172393,0.08229483813478419,0.7852807780238775,0.7578910532189194,0.8055863837458762,0.08238860342224076,0.31910664454117843
unsupervised_top50,NAFLD,1,7073,7,-0.6629779533028557,2.015389797912978,3.0130708298488385,0.10422951551042128,0.06814231164839077,0.8092779845022399,0.7782372025563749,0.8223426665508013,0.263293613008419,0.11577893612732312
unsupervised_top50,NASH w/o cirrhosis,2,31903,27,-0.4975120411294412,1.7323948833389715,2.4451294070994276,0.07838692450560336,0.05133237936741257,0.7288373556966654,0.6822329629973325,0.7532689183306929,0.2828453236896283,0.12785198074590787
unsupervised_top50,NASH with cirrhosis,3,3603,4,-0.29506083400946537,1.4203255713641103,1.8813499791076846,0.051768462168099307,0.04061101782243865,0.6167099415245417,0.5902783307416808,0.636608626993343,0.09809191399244623,-0.18047238393496404
unsupervised_top50,end stage,4,23097,5,-0.06925203973110826,1.163893981268065,1.5885719148394235,0.04990795517588802,0.0272389134884078,0.5232701231156212,0.4674071057985129,0.5474208008673068,-0.4999901509038812,-0.23570914294830503
