signature_set,stage,stage_rank,n_cells,n_donors,pc_pp_anticorr,coord_spread_std,coord_iqr,coherence_pc,coherence_pp,splithalf_rho_mean,splithalf_rho_lo,splithalf_rho_hi,mean_pc_score,mean_pp_score
paper2_landmark,Healthy control,0,3750,4,-0.45465565151684634,1.713991530113306,2.4721004770481443,0.15622637357833727,0.06183456241373339,0.6306641776827859,0.5616198560497676,0.6649400540999149,0.003323100094016839,0.33559933513747636
paper2_landmark,NAFLD,1,7073,7,-0.3910265516660523,1.4523423456815612,2.095020550877229,0.08965211048285582,0.07233745063534208,0.5815364785457133,0.5501901597640032,0.6084838829821846,0.5821320483655452,-0.09591616005210311
paper2_landmark,NASH w/o cirrhosis,2,31903,27,-0.24751778587496728,1.368060317278611,1.9407752682532422,0.07657803073496275,0.07462710598115661,0.5174545103529881,0.46663743474591335,0.5585971482903676,0.3678376533835328,-0.03674976910716575
paper2_landmark,NASH with cirrhosis,3,3603,4,-0.014560554477631533,1.119733710448448,1.5219264862394775,0.04643509934511503,0.06547039189286694,0.3392757152311787,0.2910704327000104,0.3648338276072877,0.2738262086092318,-0.19044603098703383
paper2_landmark,end stage,4,23097,5,0.3504794552804168,1.1621978525565757,1.6352566932946737,0.08752207448574723,0.11065644552744991,0.38092739512822027,0.2893900903681952,0.44021326859327964,-0.7296013373579241,0.05535448009504189
