signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
unsupervised,CYP2C18,cyp_xenobiotic,-0.6408807611316916,1.0940514417382466e-09,0.0337340303202383,1.0,-0.3544925040657944,0.2608712200441045
unsupervised,RANBP17,other,-0.6044649762881502,1.3547945495596053e-11,0.2199292531144904,0.5798465916732969,-0.0332699932094536,1.0
unsupervised,TBX3,wnt_pericentral_identity,-0.5908004428026581,6.72032612586972e-13,-0.4088952381527045,0.1651530834298776,-0.4103541302187854,0.1695547488449142
unsupervised,RAPGEF5,other,-0.577723015288248,7.757673700784103e-12,0.5591398208315487,0.0144249621658584,0.4572808018635606,0.1054440002351226
unsupervised,NTN1,other,-0.5721974173226055,2.9606171847386345e-14,0.1192120455464686,0.8503611784804751,-0.1759386977146217,0.6899725057648329
unsupervised,ITPR2,other,-0.5646903367045608,2.163029192771788e-10,-0.1771209764452762,0.702221165682234,-0.019104821428136,1.0
unsupervised,ZSWIM5,other,-0.5437907960998178,1.3342895598135724e-14,-0.1335507401589724,0.814041934303626,0.1869076256068215,0.6605098480460074
unsupervised,SLCO1B3,bile_acid_transport,-0.534368819238286,1.4481232873698305e-12,-0.4377111654899103,0.120330574907573,0.0092255221344991,1.0
unsupervised,KANK4,other,-0.5323583392787754,5.538777811472746e-17,-0.3369246888657894,0.3096237795071653,-0.2453197989851582,0.508895569742076
unsupervised,AFF3,other,-0.5207916356655646,8.62771341624961e-12,0.307138994743197,0.3749183392423014,0.0586946605092544,1.0
unsupervised,ASAP2,other,-0.5155656765400416,1.2913335727758064e-11,-0.35368780044176,0.2704548917613816,-0.0058132676196491,1.0
unsupervised,NKD1,wnt_pericentral_identity,-0.5089002613488335,5.538777811472746e-17,-0.4007907585891155,0.1792461966600383,-0.0474414159185167,1.0
unsupervised,USH2A,other,-0.5004759465642151,9.24012434305273e-14,-0.4793418682054405,0.0700005038617148,-0.5676964998512672,0.0223469873562538
unsupervised,ZNRF3,wnt_pericentral_identity,-0.4967837064787335,4.7112474663855855e-11,-0.3048531158919283,0.3801419412639463,-0.2219210245739758,0.5679100021197908
unsupervised,SLC38A4,urea_nitrogen,-0.4957300314365553,1.7132349355310844e-15,-0.3095634117066639,0.3696638504310927,-0.5441605221223087,0.0322576133922604
unsupervised,CYP1A2,cyp_xenobiotic,-0.4915541488417942,1.9707122968616512e-14,-0.3330456217242425,0.3200414689584726,-0.0684286759897496,0.9781048301726344
unsupervised,ADH1A,cyp_xenobiotic,-0.4885509260584537,3.731270436826344e-09,-0.436048708143533,0.1233274091409914,-0.2376116763932815,0.5293395459140143
unsupervised,ATP11C,other,-0.4880668114725425,3.4492769928853455e-14,-0.4866843881519401,0.0637491350800498,-0.253374970119158,0.4911811863431324
unsupervised,NADK2,other,-0.482942095081667,1.674478206063789e-09,-0.0999552479509321,0.9037976859871784,-0.009806657387066,1.0
unsupervised,SNTG1,other,-0.4798263490779818,3.4492769928853455e-14,-0.1664535418060222,0.7330805002225934,-0.0617456205852306,0.9965485354431608
unsupervised,PSD3,other,-0.4796798980319801,6.248867026561148e-14,0.4465083356144899,0.1052011360433582,0.23579562872901,0.5340942595138628
unsupervised,FNIP2,other,-0.4789476428019719,3.4492769928853455e-14,-0.1224676911831241,0.8425238714910034,-0.3571802546089162,0.2569167144311327
unsupervised,COL4A5,other,-0.4750338938740878,1.223138643316711e-10,0.0175602472110252,1.0,-0.4013267711085553,0.1837034384230532
unsupervised,GTF2IRD1,other,-0.4742670673717589,9.274599728869261e-14,-0.3062384970139093,0.3778318863327886,-0.1810962730811528,0.6752280072698789
unsupervised,EXPH5,other,-0.4732747150840516,3.032832924806062e-12,-0.2194443697217971,0.5810406256693843,-0.0091528802279283,1.0
unsupervised,TBC1D1,other,-0.4631900960563778,4.4358888767711676e-13,-0.137014192963925,0.8044498843155997,0.0373379399774217,1.0
unsupervised,PLXNA4,other,-0.4611391956081707,6.248867026561148e-14,-0.2535247453225308,0.5006481353928498,-0.4819064081910821,0.0811160444545856
unsupervised,MDN1,other,-0.4568569670230822,1.3342895598135724e-14,-0.1646525463474468,0.7390662156558309,-0.3686576758471121,0.2363621959642838
unsupervised,NRIP1,other,-0.4547744331489387,1.619393289792784e-06,-0.222007324797462,0.574037390892029,-0.0563701194989869,1.0
unsupervised,AMDHD1,other,-0.4516545376989501,4.9778776962751834e-14,0.2605901890446341,0.4832961209385945,-0.1093987112957144,0.8755042577695102
