signature_set,stage,stage_rank,n_cells,n_donors,pc_pp_anticorr,coord_spread_std,coord_iqr,coherence_pc,coherence_pp,splithalf_rho_mean,splithalf_rho_lo,splithalf_rho_hi,mean_pc_score,mean_pp_score
unsupervised,Healthy control,0,3750,4,-0.3060469969668976,4.999611467613131,6.4032211,0.1207955961917239,0.08229483813478419,0.7812535861798107,0.7466394417208492,0.8071006898731157,0.08238860342224073,0.31910664454117843
unsupervised,NAFLD,1,7073,7,-0.6629779533028557,4.4184052208107065,6.359062,0.10422951551042128,0.06814231164839077,0.8076556649899255,0.7709845851031697,0.8222439886400041,0.263293613008419,0.11577893612732312
unsupervised,NASH w/o cirrhosis,2,31903,27,-0.4975120411294412,4.066121643077101,5.4663279,0.07838692450560336,0.05133237936741257,0.7305162333550959,0.7131186842539646,0.7485260821886558,0.2828453236896283,0.12785198074590787
unsupervised,NASH with cirrhosis,3,3603,4,-0.29506083400946537,3.244466184943278,4.1528963,0.051768462168099307,0.04061101782243865,0.6159213276561174,0.5807375193089486,0.6378593103395475,0.09809191399244617,-0.18047238393496404
unsupervised,end stage,4,23097,5,-0.06925203973110826,3.0068000886442046,3.8955725,0.04990795517588803,0.0272389134884078,0.532441423859257,0.5064402754844332,0.5586989998419359,-0.4999901509038813,-0.23570914294830503
