signature_set,metric,n_donors,rho_vs_stage,ci_lo,ci_hi,p_spearman,perm_p,expected_direction
paper2_top250,coord_spread,47,-0.2650998254303555,-0.5675746944784915,0.06273571816904365,0.0717238512106584,0.06696651674162919,down
paper2_top250,coord_iqr,47,-0.2873310942134067,-0.5894842211574283,0.037106455693803844,0.050193271111950044,0.06096951524237881,down
paper2_top250,pc_pp_anticorr,47,0.24989234881354366,-0.020488988536625237,0.5011423537255284,0.0902580957178951,0.08095952023988005,toward 0
paper2_top250,mean_entropy,47,-0.3338556625072124,-0.6395310076612564,0.015270116818753818,0.021824675581385598,0.022488755622188907,up
