set,arm,gene,in_p1,in_p2,in_sig,kept
full,pericentral,PDK2,True,True,True,True
full,pericentral,ABCD3,True,True,True,True
full,pericentral,AKAP8L,True,True,True,True
full,pericentral,UBAP2L,True,True,True,True
full,pericentral,GNMT,True,True,True,True
full,pericentral,FMO3,True,True,True,True
full,pericentral,RORA,True,True,True,True
full,pericentral,TRIM24,True,True,True,True
full,pericentral,GPRC5C,True,True,True,True
full,pericentral,TXNIP,True,True,True,True
full,pericentral,PNPLA7,True,True,True,True
full,pericentral,SUGCT,True,True,True,True
full,pericentral,EPS8L2,True,True,True,True
full,pericentral,L3HYPDH,True,True,True,True
full,pericentral,ACCS,True,True,True,True
full,pericentral,PHF8,True,True,True,True
full,pericentral,PCYT2,True,True,True,True
full,pericentral,NEIL1,True,True,True,True
full,pericentral,MAPRE3,True,True,True,True
full,pericentral,LMNTD2,True,True,True,True
full,pericentral,EHMT1,True,True,True,True
full,pericentral,FLCN,True,True,True,True
full,pericentral,ZMIZ2,True,True,True,True
full,pericentral,LGALS8,True,True,True,True
full,pericentral,NMRK1,True,True,True,True
full,pericentral,RILP,True,True,True,True
full,pericentral,TNS3,True,True,True,True
full,pericentral,SH3GLB2,True,True,True,True
full,pericentral,IL11RA,True,True,True,True
full,pericentral,GSE1,True,True,True,True
full,pericentral,NUGGC,True,True,True,True
full,pericentral,CAPS,True,True,True,True
full,pericentral,IP6K2,True,True,True,True
full,pericentral,RORC,True,True,True,True
full,pericentral,PLCXD1,True,True,True,True
full,pericentral,JUND,True,True,True,True
full,pericentral,SPHK2,True,True,True,True
full,pericentral,MICA,True,True,True,True
full,pericentral,IFRD1,True,True,True,True
full,pericentral,SCN8A,True,True,True,True
full,pericentral,ECM2,True,True,True,True
full,pericentral,EBNA1BP2,True,True,True,True
full,pericentral,MIB2,True,True,True,True
full,pericentral,TCIRG1,True,True,True,True
full,pericentral,OPLAH,True,True,True,True
full,pericentral,DEPDC7,True,True,True,True
full,pericentral,CA5A,True,True,True,True
full,pericentral,ZFP36L1,True,True,True,True
full,pericentral,HGS,True,True,True,True
full,pericentral,INHBA,True,True,True,True
full,pericentral,GIGYF1,True,True,True,True
full,pericentral,PPARGC1A,True,True,True,True
full,pericentral,SELENBP1,True,True,True,True
full,pericentral,ABCA6,True,True,True,True
full,pericentral,ACAP3,True,True,True,True
full,pericentral,RCOR3,True,True,True,True
full,pericentral,CPSF7,True,True,True,True
full,pericentral,KLHDC2,True,True,True,True
full,pericentral,CBLC,True,True,True,True
full,pericentral,TMEM184A,True,True,True,True
full,pericentral,CD46,True,True,True,True
full,pericentral,CALCOCO1,True,True,True,True
full,pericentral,GLYAT,True,True,True,True
full,pericentral,DNAH1,True,True,True,True
full,pericentral,TUBGCP6,True,True,True,True
full,pericentral,ABCC2,True,True,True,True
full,pericentral,NR0B2,True,True,True,True
full,pericentral,ZKSCAN1,True,True,True,True
full,pericentral,SHC2,True,True,True,True
full,pericentral,TP53I13,True,True,True,True
full,pericentral,SNRNP70,True,True,True,True
full,pericentral,CLASRP,True,True,True,True
full,pericentral,HYI,True,True,True,True
full,pericentral,ARL16,True,True,True,True
full,pericentral,PHF10,True,True,True,True
full,pericentral,NSMF,True,True,True,True
full,pericentral,AGMO,True,True,True,True
full,pericentral,GTF2H4,True,True,True,True
full,pericentral,SEC14L4,True,True,True,True
full,pericentral,GCKR,True,True,True,True
full,pericentral,SLC25A37,True,True,True,True
full,pericentral,ACSM2B,True,True,True,True
full,pericentral,PRPSAP1,True,True,True,True
full,pericentral,PARP3,True,True,True,True
full,pericentral,NME3,True,True,True,True
full,pericentral,TSC2,True,True,True,True
full,pericentral,BCO2,True,True,True,True
full,pericentral,ID2,True,True,True,True
full,pericentral,TRPV1,True,True,True,True
full,pericentral,ATN1,True,True,True,True
full,pericentral,GSDMB,True,True,True,True
full,pericentral,CYP2E1,True,True,True,True
full,pericentral,ZSWIM8,True,True,True,True
full,pericentral,ZNF680,True,True,True,True
full,pericentral,SLC25A42,True,True,True,True
full,pericentral,IRS2,True,True,True,True
full,pericentral,AMDHD2,True,True,True,True
full,pericentral,CYP2D6,True,True,True,True
full,pericentral,ZDHHC18,True,True,True,True
full,pericentral,ENPP1,True,True,True,True
full,pericentral,POFUT2,True,True,True,True
full,pericentral,KHNYN,True,True,True,True
full,pericentral,PAN2,True,True,True,True
full,pericentral,MAN2A2,True,True,True,True
full,pericentral,AFDN,True,True,True,True
full,pericentral,CENPT,True,True,True,True
full,pericentral,CDK3,True,True,True,True
full,pericentral,SBF1,True,True,True,True
full,pericentral,PHF1,True,True,True,True
full,pericentral,UCKL1,True,True,True,True
full,pericentral,TENT4A,True,True,True,True
full,pericentral,GRAMD1C,True,True,True,True
full,pericentral,RHOT2,True,True,True,True
full,pericentral,PRKAG2,True,True,True,True
full,pericentral,SRSF7,True,True,True,True
full,pericentral,SKP2,True,True,True,True
full,pericentral,TNFRSF14,True,True,True,True
full,pericentral,PHKG2,True,True,True,True
full,pericentral,CXXC1,True,True,True,True
full,pericentral,DDI2,True,True,True,True
full,pericentral,SLC23A2,True,True,True,True
full,pericentral,MTG1,True,True,True,True
full,pericentral,SLC17A2,True,True,True,True
full,pericentral,ERCC5,True,True,True,True
full,pericentral,CRY2,True,True,True,True
full,pericentral,CHKB,True,True,True,True
full,pericentral,TNKS1BP1,True,True,True,True
full,pericentral,SEMA6C,True,True,True,True
full,pericentral,DUS3L,True,True,True,True
full,pericentral,PLIN4,True,True,True,True
full,pericentral,PDXK,True,True,True,True
full,pericentral,CYP4F3,True,True,True,True
full,pericentral,BIRC6,True,True,True,True
full,pericentral,PER1,True,True,True,True
full,pericentral,VWCE,True,True,True,True
full,pericentral,RPAIN,True,True,True,True
full,pericentral,HNRNPH3,True,True,True,True
full,pericentral,ATL2,True,True,True,True
full,pericentral,TP53INP1,True,True,True,True
full,pericentral,STX17,True,True,True,True
full,pericentral,THBS3,True,True,True,True
full,pericentral,ANKZF1,True,True,True,True
full,pericentral,WDR59,True,True,True,True
full,pericentral,MTUS1,True,True,True,True
full,pericentral,CBR4,True,True,True,True
full,pericentral,STX16,True,True,True,True
full,pericentral,ACP6,True,True,True,True
full,pericentral,KANK1,True,True,True,True
full,pericentral,SPAG9,True,True,True,True
