signature_set,metric,n_donors,rho_vs_stage,ci_lo,ci_hi,p_spearman,perm_p,expected_direction
supervised,coord_spread,47,0.12198200523569834,-0.18326476697407162,0.4304838718517059,0.4140401156156148,0.4027986006996502,down
supervised,coord_iqr,47,0.03602534875779652,-0.2853161257213047,0.3585547335281412,0.8100164500278765,0.8100949525237381,down
supervised,pc_pp_anticorr,47,0.5691849193063515,0.35420924611913696,0.7300718126553166,2.980662012115452e-05,0.0004997501249375312,toward 0
supervised,mean_entropy,47,-0.3338556625072124,-0.6395310076612564,0.015270116818753818,0.021824675581385598,0.022488755622188907,up
