signature_set,gene,direction,held_out,n_splits_tested,mean_slope_trend_rho,frac_splits_weakening,p_trend,q_trend
unsupervised_p2,PCSK6,PP,True,10,-0.22302151089316,1.0,2.794899803501118e-07,5.081636006365669e-07
unsupervised_p2,MST1,PP,True,10,-0.21431587491463766,1.0,4.3500802764423507e-07,7.373017417698899e-07
unsupervised_p2,ARG1,PP,True,9,-0.21311946750283484,1.0,4.970610308434823e-06,7.203783055702642e-06
unsupervised_p2,CFB,PP,True,13,-0.19309728131829268,1.0,2.41032792830051e-07,4.4635702375935364e-07
unsupervised_p2,ALDH1L1,PC,True,12,-0.19206957049086362,1.0,2.972043377977902e-09,6.922047878791737e-09
unsupervised_p2,CFH,PP,True,12,-0.19085597948966324,1.0,9.966817239811594e-11,4.74610344752933e-10
unsupervised_p2,ADAMTSL4,PC,True,10,-0.18890779004171854,1.0,2.288538527802269e-05,2.972127958184765e-05
unsupervised_p2,RHBG,PC,True,7,-0.1863007940502651,1.0,1.3747395105825205e-08,2.749479021165041e-08
unsupervised_p2,CXCL2,PP,True,6,-0.18397180398727878,1.0,0.0006607018471796212,0.0007682579618367689
unsupervised_p2,ACSS3,PC,True,10,-0.17969953407331854,1.0,1.2245389102232948e-09,3.601585030068514e-09
unsupervised_p2,TAT,PP,True,8,-0.16920734178462193,1.0,2.027387437400416e-06,3.078837364926943e-06
unsupervised_p2,FBP1,PP,True,13,-0.1691707853504469,1.0,1.6237225262243268e-09,4.388439260065748e-09
unsupervised_p2,DCPS,PC,True,6,-0.16488728001264982,1.0,0.0011179754321685705,0.0012850292323776673
unsupervised_p2,PTPRS,PC,True,10,-0.15866037680472078,1.0,8.173399597128694e-06,1.1196437804285882e-05
unsupervised_p2,HSD17B13,PP,True,11,-0.14863609560799948,1.0,3.7528965610113774e-07,6.584029054405926e-07
unsupervised_p2,ASS1,PP,True,11,-0.14684939284677936,1.0,9.603894970588223e-07,1.5490153178368102e-06
unsupervised_p2,GPLD1,PP,True,12,-0.14682840153018578,1.0,2.976480587880447e-09,6.922047878791737e-09
unsupervised_p2,SLC3A1,PC,True,11,-0.1278517631594447,1.0,0.00021398116786725506,0.0002641742813175988
unsupervised_p2,MT1X,PC,True,13,-0.12308737266905852,0.9230769230769231,0.00012243422196401204,0.0001549800278025469
unsupervised_p2,CYP4V2,PP,True,8,-0.10385868829299355,1.0,0.0005468895277145578,0.0006494239383542949
unsupervised_p2,SYT7,PP,True,11,-0.09375795965025943,1.0,6.4652593406170805e-06,9.052887963699898e-06
unsupervised_p2,AGXT,PP,True,8,-0.08773296361775135,0.875,0.010937026697312918,0.012152251885903242
unsupervised_p2,HMGCS2,PP,True,8,-0.07752752247712602,0.875,0.016084823046676442,0.017675629721622465
unsupervised_p2,SDS,PP,True,12,-0.07374444787382661,1.0,0.0005520103476011506,0.0006494239383542949
unsupervised_p2,CD14,PC,True,11,-0.029923742779630395,0.6363636363636364,0.6176016378053928,0.6238400381872654
unsupervised_p2,C5,PP,True,10,-0.015800310451026534,0.8,0.2753757832620867,0.28684977423134034
unsupervised_p2,SHC2,PC,True,11,0.007053082375439698,0.36363636363636365,0.7786730302352709,0.7786730302352709
unsupervised_p2,SLC38A3,PP,True,8,0.0074184777352138236,0.5,0.4820497213461677,0.4918874707613956
unsupervised_p2,APCS,PP,True,11,0.018025194741883674,0.36363636363636365,0.23230342275680715,0.24978862662022272
unsupervised_p2,SHBG,PC,True,10,0.02181241879148647,0.2,0.36264002634137693,0.37385569725915146
unsupervised_p2,ZC3H3,PC,True,10,0.023371829529312087,0.3,0.2600407473336814,0.2737271024565067
unsupervised_p2,NNMT,PP,True,11,0.02700557288270515,0.36363636363636365,0.24680544220750933,0.26255898107181846
unsupervised_p2,SLC22A7,PP,True,12,0.04397387924261021,0.25,0.0391001799577743,0.042500195606276416
unsupervised_p2,MUC20,PC,True,9,0.06365087906000812,0.1111111111111111,0.007982972124726328,0.009071559232643554
unsupervised_p2,LEPR,PP,True,12,0.10123819090987062,0.0,0.00012807234803534869,0.00016009043504418584
unsupervised_p2,LENG8,PC,True,13,0.10138648198183485,0.07692307692307693,0.00028651318140849306,0.00034519660410661817
unsupervised_p2,C4BPB,PP,True,9,0.11792238224053245,0.1111111111111111,0.008272808062091228,0.009295289957405873
unsupervised_p2,HGD,PP,True,9,0.1351990494139632,0.0,0.0002206577017337383,0.000269094758211876
unsupervised_p2,TF,PP,True,10,0.14283429096959796,0.0,6.518079333863927e-06,9.052887963699898e-06
unsupervised_p2,PROZ,PC,True,11,0.14679081242837866,0.0,2.4254340766264135e-06,3.620050860636438e-06
unsupervised_p2,CPS1,PP,True,13,0.16549283631209155,0.0,1.0141443658345088e-06,1.6097529616420774e-06
unsupervised_p2,IGFBP1,PP,True,8,0.24288562623984333,0.0,1.8477186676892836e-05,2.431208773275373e-05
unsupervised_p2,SQSTM1,PC,True,7,0.28587662611083026,0.0,3.452353666934289e-08,6.769320915557429e-08
