signature_set,gene,program,mean_slope_trend_rho,q_trend,level_rho_central,level_q_central,level_rho_portal,level_q_portal
paper2_full,GLS2,urea_nitrogen,-0.5725614946229656,3.683955076356566e-07,-0.0371974831251909,1.0,-0.3999663375791525,0.1865317187259875
paper2_full,SLC38A4,urea_nitrogen,-0.5610978925461402,2.643802812687649e-13,-0.3095634117066639,0.3696638504310927,-0.5441605221223087,0.0322576133922604
paper2_full,GADD45G,other,-0.5566046321338859,3.604353265384125e-11,0.2173662980388255,0.5880513010833278,0.3854958957276848,0.20875393167397
paper2_full,PSD3,other,-0.546125156034491,9.42199300162595e-16,0.4465083356144899,0.1052011360433582,0.23579562872901,0.5340942595138628
paper2_full,ADH1B,cyp_xenobiotic,-0.5323905585088958,1.3117438081358137e-08,-0.3658791543151932,0.2481089001352276,-0.2027435612392689,0.6145401952766175
paper2_full,SLCO1B3,bile_acid_transport,-0.5319394892872106,2.3810542427188563e-11,-0.4377111654899103,0.120330574907573,0.0092255221344991,1.0
paper2_full,ADH1A,cyp_xenobiotic,-0.5093538089728356,5.480316959231533e-09,-0.436048708143533,0.1233274091409914,-0.2376116763932815,0.5293395459140143
paper2_full,ADGRA3,other,-0.4887071405075222,6.890576340060267e-10,0.0480727249327421,1.0,-0.2821411651212184,0.4119927062902571
paper2_full,ELN,other,-0.4837073017970256,2.132439179007876e-08,-0.4436819857460219,0.1097698150277721,-0.093424280923159,0.9164149900001684
paper2_full,ZFP36L2,other,-0.4686072226139484,5.346181773011458e-09,-0.2319127998196264,0.5475459860704224,0.1719433928532245,0.702743582276615
paper2_full,FNIP2,other,-0.4662573667638364,3.333864909557859e-09,-0.1224676911831241,0.8425238714910034,-0.3571802546089162,0.2569167144311327
paper2_full,SLC7A2,other,-0.4605900041856645,1.7415474493812635e-10,0.2835875156695193,0.4265034357166486,0.0169982061375811,1.0
paper2_full,CYP1A2,cyp_xenobiotic,-0.4574099661727844,1.145133679842979e-05,-0.3330456217242425,0.3200414689584726,-0.0684286759897496,0.9781048301726344
