stage,stage_short,gene,nDonors,raw_mean_mean,raw_mean_min,raw_mean_max,det1_mean,det1_min,det1_max,det2_mean,det2_min,det2_max,dm_mean_mean,dm_mean_min,dm_mean_max,dm_det1_mean,dm_det1_min,dm_det1_max
end stage,End-stage,CYP1A2,5,0.061,0.0244,0.1759,0.0403,0.0174,0.0956,0.0084,0.0012,0.0249,0.0128,0.0055,0.0239,0.0032,0.0,0.0066
Healthy control,Healthy,CYP2E1,2,5.7965,3.4511,8.1419,0.7942,0.6337,0.9548,0.698,0.5088,0.8871,2.318,1.0022,3.6339,0.633,0.382,0.8839
NAFLD,NAFLD,CYP2E1,7,15.4333,8.5681,22.5619,0.9609,0.9203,0.9901,0.9006,0.8239,0.9613,3.3574,1.6406,5.5926,0.81,0.6562,0.9192
NASH w/o cirrhosis,NASH,CYP2E1,27,11.4664,3.9565,24.7981,0.9266,0.8275,1.0,0.8398,0.6603,0.9781,2.62,1.471,6.8182,0.7379,0.5404,0.9899
NASH with cirrhosis,Cirrhosis,CYP2E1,4,10.37,6.0589,15.705,0.9099,0.8521,0.973,0.8101,0.706,0.9266,2.835,2.2607,4.2394,0.7584,0.6928,0.8985
end stage,End-stage,CYP2E1,5,2.2301,1.4617,3.7017,0.5096,0.2745,0.7459,0.3254,0.1729,0.4232,0.5589,0.2636,0.8611,0.23,0.0941,0.4066
Healthy control,Healthy,CYP3A4,2,0.2831,0.0177,0.5484,0.102,0.0071,0.1968,0.0437,0.0035,0.0839,0.1063,0.005,0.2076,0.0542,0.0012,0.1071
NAFLD,NAFLD,CYP3A4,7,4.3438,1.528,11.8356,0.5944,0.3282,0.8851,0.4156,0.1578,0.7901,0.8039,0.2802,2.0635,0.2987,0.101,0.668
NASH w/o cirrhosis,NASH,CYP3A4,27,2.8703,0.5637,10.8601,0.4826,0.2164,0.786,0.3096,0.098,0.6502,0.5344,0.2435,1.464,0.2022,0.0836,0.4239
NASH with cirrhosis,Cirrhosis,CYP3A4,4,2.9549,0.7993,5.7365,0.5091,0.2975,0.7471,0.3098,0.1426,0.5097,0.6454,0.2993,1.1712,0.2479,0.1144,0.4715
end stage,End-stage,CYP3A4,5,5.9144,0.4106,18.4137,0.5122,0.0839,0.9054,0.4053,0.0414,0.8071,1.323,0.0702,3.641,0.3451,0.0223,0.6678
Healthy control,Healthy,DUSP1,2,0.2666,0.1903,0.3428,0.1808,0.1355,0.2261,0.0591,0.0452,0.073,0.0811,0.0703,0.0918,0.0262,0.0212,0.0312
NAFLD,NAFLD,DUSP1,7,0.0901,0.0312,0.161,0.0772,0.0294,0.1362,0.0102,0.0011,0.0217,0.0173,0.0082,0.0294,0.0016,0.0,0.0029
NASH w/o cirrhosis,NASH,DUSP1,27,0.0559,0.0057,0.1243,0.0501,0.0057,0.108,0.0049,0.0,0.019,0.0133,0.0019,0.0417,0.0013,0.0,0.0107
NASH with cirrhosis,Cirrhosis,DUSP1,4,0.0417,0.0101,0.0608,0.0376,0.0101,0.0518,0.0031,0.0,0.0068,0.0136,0.0047,0.019,0.0034,0.0005,0.0063
end stage,End-stage,DUSP1,5,1.4025,0.7033,2.2286,0.5983,0.4527,0.7293,0.326,0.1466,0.4948,0.3355,0.2275,0.4292,0.1235,0.0547,0.1766
Healthy control,Healthy,FOS,2,0.0212,0.0165,0.0258,0.0194,0.013,0.0258,0.0006,0.0,0.0012,0.0088,0.0041,0.0134,0.0044,0.0,0.0089
NAFLD,NAFLD,FOS,7,0.0027,0.0,0.0079,0.0023,0.0,0.0079,0.0002,0.0,0.0013,0.0009,0.0,0.0028,0.0002,0.0,0.0014
NASH w/o cirrhosis,NASH,FOS,27,0.0053,0.0,0.0286,0.0046,0.0,0.019,0.0006,0.0,0.0095,0.0013,0.0,0.0114,0.0001,0.0,0.0014
NASH with cirrhosis,Cirrhosis,FOS,4,0.0022,0.0,0.0058,0.0022,0.0,0.0058,0.0,0.0,0.0,0.0005,0.0,0.0011,0.0001,0.0,0.0005
end stage,End-stage,FOS,5,0.3433,0.0659,1.095,0.155,0.0475,0.3876,0.0629,0.013,0.2102,0.0722,0.0265,0.209,0.0241,0.0061,0.0736
Healthy control,Healthy,GAPDH,2,0.0963,0.0548,0.1378,0.0849,0.0484,0.1213,0.0103,0.0065,0.0141,0.0327,0.0279,0.0375,0.0063,0.0037,0.0089
NAFLD,NAFLD,GAPDH,7,0.1425,0.0705,0.257,0.1207,0.0653,0.1934,0.0168,0.0027,0.0433,0.0303,0.0129,0.0565,0.0033,0.0,0.007
NASH w/o cirrhosis,NASH,GAPDH,27,0.1776,0.0553,0.3891,0.1416,0.0492,0.2852,0.0286,0.0012,0.0824,0.0455,0.0156,0.109,0.0114,0.0,0.0349
NASH with cirrhosis,Cirrhosis,GAPDH,4,0.134,0.0661,0.2162,0.1068,0.0574,0.1599,0.0207,0.0077,0.0405,0.0433,0.0256,0.0667,0.0152,0.0024,0.0318
end stage,End-stage,GAPDH,5,0.2837,0.0444,0.6688,0.1872,0.0421,0.3511,0.0525,0.0023,0.1486,0.0695,0.0188,0.1413,0.0174,0.0024,0.0414
Healthy control,Healthy,GLUL,2,0.1148,0.0813,0.1484,0.0711,0.0648,0.0774,0.0146,0.013,0.0161,0.0427,0.0218,0.0636,0.0174,0.0037,0.0312
NAFLD,NAFLD,GLUL,7,0.7335,0.3754,1.3622,0.2258,0.1595,0.3287,0.0853,0.0498,0.1471,0.1291,0.0738,0.187,0.0452,0.0208,0.072
NASH w/o cirrhosis,NASH,GLUL,27,0.5374,0.092,1.8519,0.2141,0.0526,0.3745,0.0826,0.0152,0.214,0.11,0.0445,0.2222,0.0386,0.0109,0.1313
NASH with cirrhosis,Cirrhosis,GLUL,4,0.407,0.2045,0.5225,0.2071,0.1365,0.2477,0.0707,0.028,0.1004,0.1151,0.0748,0.1573,0.039,0.0237,0.0551
end stage,End-stage,GLUL,5,0.7163,0.2805,1.0554,0.3495,0.2092,0.4207,0.1373,0.0513,0.1912,0.1621,0.0964,0.2757,0.0503,0.0273,0.1017
Healthy control,Healthy,HAL,2,1.5265,1.0613,1.9918,0.483,0.3581,0.6078,0.2825,0.1645,0.4005,0.448,0.4096,0.4863,0.1942,0.1875,0.201
NAFLD,NAFLD,HAL,7,0.9614,0.3998,1.5947,0.3097,0.1905,0.4286,0.1667,0.0875,0.2591,0.2022,0.148,0.2873,0.0779,0.0473,0.1319
NASH w/o cirrhosis,NASH,HAL,27,0.9132,0.1825,2.5754,0.2965,0.1168,0.5336,0.1603,0.0511,0.346,0.1923,0.0788,0.3623,0.0766,0.0208,0.1667
NASH with cirrhosis,Cirrhosis,HAL,4,0.564,0.2259,1.205,0.2183,0.1351,0.3063,0.0926,0.0386,0.1622,0.1439,0.0772,0.1839,0.0552,0.0338,0.0716
end stage,End-stage,HAL,5,3.5751,1.5939,6.1802,0.6843,0.5349,0.8285,0.4729,0.3226,0.6799,0.7397,0.4218,1.1123,0.3118,0.1715,0.4437
Healthy control,Healthy,HSPA1A,2,0.206,0.0636,0.3484,0.1562,0.0577,0.2548,0.0304,0.0059,0.0548,0.0696,0.0197,0.1194,0.0174,0.0037,0.0312
NAFLD,NAFLD,HSPA1A,7,0.0174,0.0066,0.0295,0.0163,0.0066,0.0238,0.0006,0.0,0.0021,0.0036,0.001,0.0077,0.0006,0.0,0.0028
NASH w/o cirrhosis,NASH,HSPA1A,27,0.0187,0.0,0.0533,0.0172,0.0,0.0429,0.0014,0.0,0.0104,0.0035,0.0,0.0108,0.0004,0.0,0.0036
NASH with cirrhosis,Cirrhosis,HSPA1A,4,0.0208,0.0159,0.0299,0.0193,0.0154,0.0264,0.0015,0.0,0.0035,0.01,0.0018,0.0212,0.0051,0.0,0.0127
end stage,End-stage,HSPA1A,5,1.2329,0.065,2.5932,0.3777,0.0556,0.5908,0.2221,0.0035,0.3967,0.2676,0.0233,0.537,0.0947,0.0047,0.1975
Healthy control,Healthy,HSPA1B,2,0.3304,0.0318,0.629,0.2014,0.0318,0.371,0.0742,0.0,0.1484,0.1432,0.0084,0.2779,0.0602,0.0,0.1205
NAFLD,NAFLD,HSPA1B,7,0.0121,0.0036,0.0185,0.0117,0.0036,0.017,0.0004,0.0,0.0025,0.0029,0.0007,0.005,0.0006,0.0,0.0026
NASH w/o cirrhosis,NASH,HSPA1B,27,0.0073,0.0,0.0215,0.0071,0.0,0.0203,0.0002,0.0,0.0014,0.0018,0.0,0.0054,0.0004,0.0,0.0027
NASH with cirrhosis,Cirrhosis,HSPA1B,4,0.0126,0.0092,0.0141,0.0116,0.0092,0.0135,0.001,0.0,0.0023,0.0044,0.0024,0.0079,0.0005,0.0,0.0021
end stage,End-stage,HSPA1B,5,0.4776,0.0272,0.801,0.2481,0.0225,0.3841,0.1089,0.0035,0.1907,0.1017,0.0133,0.1607,0.0291,0.0035,0.0513
Healthy control,Healthy,JUN,2,0.1443,0.1402,0.1484,0.1144,0.1095,0.1194,0.0223,0.0188,0.0258,0.0441,0.0346,0.0536,0.0123,0.0112,0.0134
NAFLD,NAFLD,JUN,7,0.0322,0.0144,0.0871,0.0274,0.0144,0.0653,0.0028,0.0,0.0079,0.0071,0.0041,0.0155,0.0011,0.0,0.0028
NASH w/o cirrhosis,NASH,JUN,27,0.053,0.0071,0.1509,0.0439,0.0071,0.1124,0.0069,0.0,0.0281,0.0106,0.0,0.0286,0.0018,0.0,0.0101
NASH with cirrhosis,Cirrhosis,JUN,4,0.0622,0.0405,0.1014,0.0508,0.0352,0.0721,0.0073,0.0039,0.0158,0.0204,0.0164,0.0243,0.0032,0.0,0.0063
end stage,End-stage,JUN,5,1.8928,0.2345,5.9596,0.4979,0.1709,0.793,0.2801,0.0444,0.6256,0.3981,0.0891,1.1841,0.132,0.0319,0.3946
Healthy control,Healthy,JUNB,2,0.1952,0.1194,0.2709,0.161,0.1065,0.2155,0.0306,0.0129,0.0483,0.0662,0.0536,0.0787,0.0234,0.02,0.0268
NAFLD,NAFLD,JUNB,7,0.0215,0.0066,0.0372,0.0207,0.0066,0.0356,0.0007,0.0,0.0021,0.0045,0.0013,0.0075,0.0002,0.0,0.0014
NASH w/o cirrhosis,NASH,JUNB,27,0.029,0.0048,0.0722,0.0258,0.0045,0.0574,0.0028,0.0,0.0135,0.0066,0.0009,0.0219,0.001,0.0,0.0101
NASH with cirrhosis,Cirrhosis,JUNB,4,0.019,0.0048,0.045,0.0164,0.0048,0.036,0.0016,0.0,0.0045,0.0042,0.0021,0.0069,0.0001,0.0,0.0005
end stage,End-stage,JUNB,5,0.2067,0.0575,0.3002,0.1491,0.0498,0.2084,0.037,0.0069,0.0612,0.0549,0.0178,0.1291,0.0127,0.0033,0.039
Healthy control,Healthy,JUND,2,0.0874,0.0424,0.1323,0.0748,0.04,0.1097,0.0109,0.0024,0.0194,0.0397,0.0147,0.0647,0.0152,0.0037,0.0268
NAFLD,NAFLD,JUND,7,0.0833,0.0343,0.1762,0.0756,0.0332,0.1545,0.0063,0.0,0.0158,0.02,0.0078,0.0375,0.0024,0.0015,0.0039
NASH w/o cirrhosis,NASH,JUND,27,0.0991,0.0245,0.3086,0.0882,0.0245,0.2469,0.0097,0.0,0.0535,0.0262,0.0062,0.1086,0.0056,0.0,0.0404
NASH with cirrhosis,Cirrhosis,JUND,4,0.0941,0.0294,0.1486,0.0834,0.026,0.1255,0.009,0.0029,0.0193,0.0284,0.0101,0.0518,0.0052,0.0,0.0106
end stage,End-stage,JUND,5,0.8415,0.1017,1.3894,0.411,0.0887,0.5877,0.196,0.0071,0.3248,0.1982,0.044,0.3258,0.0687,0.0142,0.1169
Healthy control,Healthy,PCK1,2,1.3905,1.3133,1.4677,0.4388,0.3969,0.4806,0.2589,0.2403,0.2774,0.4477,0.3552,0.5402,0.1894,0.1423,0.2366
NAFLD,NAFLD,PCK1,7,2.395,0.2503,5.4628,0.5192,0.1654,0.8481,0.3556,0.0443,0.6944,0.4482,0.0747,0.9345,0.1947,0.0238,0.428
NASH w/o cirrhosis,NASH,PCK1,27,1.6255,0.152,5.7778,0.4512,0.1275,0.8175,0.2668,0.0147,0.6705,0.3244,0.0378,0.8447,0.1299,0.0043,0.3539
NASH with cirrhosis,Cirrhosis,PCK1,4,0.8299,0.0796,1.964,0.3094,0.0656,0.5225,0.1537,0.0096,0.3176,0.2029,0.0378,0.3136,0.0791,0.0143,0.1292
end stage,End-stage,PCK1,5,7.12,0.7742,12.61,0.7388,0.4031,0.8649,0.5807,0.1028,0.7505,1.4566,0.2985,2.3542,0.4691,0.1194,0.6171
Healthy control,Healthy,SLCO1B3,2,2.6037,1.8139,3.3935,0.3374,0.2909,0.3839,0.2204,0.1861,0.2548,0.8495,0.4613,1.2377,0.2186,0.1336,0.3036
NAFLD,NAFLD,SLCO1B3,7,15.3112,7.9126,24.9386,0.8065,0.6667,0.9069,0.6615,0.4606,0.8356,2.645,1.3633,3.9,0.5693,0.3675,0.776
NASH w/o cirrhosis,NASH,SLCO1B3,27,11.438,1.708,30.324,0.7345,0.4611,0.9329,0.5793,0.2847,0.8366,2.0218,0.904,5.0219,0.4895,0.2789,0.7792
NASH with cirrhosis,Cirrhosis,SLCO1B3,4,7.9152,4.4683,12.6081,0.7365,0.6109,0.8215,0.5653,0.4419,0.6377,1.8732,1.5842,2.3106,0.5137,0.4216,0.6047
end stage,End-stage,SLCO1B3,5,2.8494,0.6695,5.7994,0.4252,0.143,0.6349,0.2756,0.0946,0.4773,0.5681,0.1049,0.9696,0.2011,0.0403,0.3242
Healthy control,Healthy,stress_mod,2,1.2927,0.9823,1.6032,0.5904,0.5324,0.6484,0.3118,0.2462,0.3774,0.4715,0.2756,0.6674,0.2066,0.0961,0.317
NAFLD,NAFLD,stress_mod,7,0.296,0.1196,0.4851,0.2275,0.1096,0.3426,0.0496,0.0089,0.0871,0.065,0.0381,0.103,0.0107,0.0069,0.016
NASH w/o cirrhosis,NASH,stress_mod,27,0.3084,0.1176,0.7012,0.2279,0.1039,0.4068,0.0548,0.0117,0.1598,0.0745,0.0233,0.2096,0.0165,0.001,0.0909
NASH with cirrhosis,Cirrhosis,stress_mod,4,0.2752,0.1322,0.3964,0.2098,0.1153,0.2815,0.0448,0.0135,0.0721,0.0887,0.0518,0.1342,0.0208,0.0071,0.0359
end stage,End-stage,stress_mod,5,7.2924,1.9161,16.7665,0.8923,0.7739,0.9739,0.7424,0.4764,0.9297,1.5884,0.8516,3.2873,0.5451,0.3866,0.787
