donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
50,NASH w/o cirrhosis,ALDOB,789,6.5171,0.8619,0.7452,0.8102,0.381
50,NASH w/o cirrhosis,HAL,789,2.5754,0.5336,0.346,0.3605,0.1361
50,NASH w/o cirrhosis,ARG1,789,2.9417,0.7402,0.545,0.3687,0.1116
50,NASH w/o cirrhosis,ALB,789,41.2079,0.9962,0.9911,5.8626,0.9605
50,NASH w/o cirrhosis,ACTB,789,0.2839,0.2104,0.0532,0.0673,0.019
50,NASH w/o cirrhosis,GAPDH,789,0.3891,0.2852,0.0824,0.0656,0.0095
50,NASH w/o cirrhosis,stress_mod,789,0.5019,0.3409,0.0951,0.0871,0.015
51,NAFLD,FOS,786,0.0064,0.0038,0.0013,0.0028,0.0014
51,NAFLD,JUN,786,0.0331,0.028,0.0051,0.0091,0.0028
51,NAFLD,JUNB,786,0.028,0.0267,0.0013,0.0063,0.0014
51,NAFLD,JUND,786,0.0776,0.0687,0.0089,0.02,0.0028
51,NAFLD,ATF3,786,0.0318,0.0305,0.0013,0.0081,0.0014
51,NAFLD,DUSP1,786,0.0534,0.0496,0.0038,0.0116,0.0028
51,NAFLD,HSPA1A,786,0.0229,0.0216,0.0013,0.0077,0.0028
51,NAFLD,HSPA1B,786,0.0102,0.0102,0.0,0.0028,0.0
51,NAFLD,GLUL,786,0.486,0.2099,0.0611,0.0919,0.0309
51,NAFLD,CYP3A4,786,1.528,0.3282,0.1578,0.2802,0.101
51,NAFLD,CYP2E1,786,16.7659,0.9618,0.8906,3.398,0.8233
51,NAFLD,CYP1A2,786,0.7506,0.2366,0.1349,0.1353,0.0463
51,NAFLD,ADH4,786,15.3372,0.9669,0.9148,2.7335,0.8962
51,NAFLD,AKR1D1,786,4.9198,0.8079,0.6234,0.9004,0.4222
51,NAFLD,SLCO1B3,786,9.1349,0.6667,0.4606,1.3633,0.3675
51,NAFLD,ASS1,786,1.584,0.6005,0.3473,0.3629,0.1346
51,NAFLD,CPS1,786,11.0763,0.9453,0.8702,2.1231,0.8079
51,NAFLD,PCK1,786,0.355,0.1654,0.0636,0.0747,0.0238
51,NAFLD,ALDOB,786,5.3053,0.8664,0.6947,1.0656,0.4881
51,NAFLD,HAL,786,0.7239,0.2901,0.145,0.1553,0.0477
51,NAFLD,ARG1,786,1.7328,0.6107,0.3919,0.3243,0.0954
51,NAFLD,ALB,786,31.9555,0.9975,0.9949,6.1599,0.9916
51,NAFLD,ACTB,786,0.1768,0.1514,0.0204,0.0414,0.0042
51,NAFLD,GAPDH,786,0.257,0.1934,0.0433,0.0565,0.007
51,NAFLD,stress_mod,786,0.2634,0.2099,0.042,0.0687,0.0154
52,NASH w/o cirrhosis,FOS,148,0.0,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,JUN,148,0.027,0.027,0.0,0.0074,0.0
52,NASH w/o cirrhosis,JUNB,148,0.0405,0.027,0.0135,0.0111,0.0
52,NASH w/o cirrhosis,JUND,148,0.1014,0.0946,0.0068,0.0204,0.0074
52,NASH w/o cirrhosis,ATF3,148,0.0405,0.0405,0.0,0.0167,0.0074
52,NASH w/o cirrhosis,DUSP1,148,0.027,0.027,0.0,0.0111,0.0
52,NASH w/o cirrhosis,HSPA1A,148,0.0,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,HSPA1B,148,0.0,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,GLUL,148,0.473,0.1824,0.0878,0.1093,0.037
52,NASH w/o cirrhosis,CYP3A4,148,1.4392,0.3446,0.2162,0.3296,0.1481
52,NASH w/o cirrhosis,CYP2E1,148,15.973,0.9595,0.9257,3.9481,0.8889
52,NASH w/o cirrhosis,CYP1A2,148,1.1149,0.4324,0.2838,0.3093,0.1407
52,NASH w/o cirrhosis,ADH4,148,11.5541,0.9662,0.8851,2.4593,0.8741
52,NASH w/o cirrhosis,AKR1D1,148,2.1757,0.5811,0.3784,0.4093,0.1481
52,NASH w/o cirrhosis,SLCO1B3,148,12.5743,0.7703,0.6486,2.6426,0.6222
52,NASH w/o cirrhosis,ASS1,148,1.5473,0.6081,0.3378,0.4037,0.1481
52,NASH w/o cirrhosis,CPS1,148,7.8041,0.9054,0.7973,1.65,0.7037
52,NASH w/o cirrhosis,PCK1,148,0.6824,0.2568,0.1149,0.187,0.0667
52,NASH w/o cirrhosis,ALDOB,148,2.1149,0.5743,0.3851,0.3852,0.1333
52,NASH w/o cirrhosis,HAL,148,1.1284,0.2703,0.1284,0.1889,0.0741
52,NASH w/o cirrhosis,ARG1,148,1.3041,0.5541,0.2905,0.2963,0.0963
52,NASH w/o cirrhosis,ALB,148,26.5608,0.9932,0.9932,6.0796,0.9778
52,NASH w/o cirrhosis,ACTB,148,0.1216,0.1149,0.0068,0.0389,0.0
52,NASH w/o cirrhosis,GAPDH,148,0.2162,0.1689,0.0473,0.0796,0.0296
52,NASH w/o cirrhosis,stress_mod,148,0.2365,0.2027,0.0338,0.0648,0.0148
53,NASH w/o cirrhosis,FOS,105,0.0286,0.019,0.0095,0.0114,0.0
53,NASH w/o cirrhosis,JUN,105,0.0381,0.0286,0.0095,0.0,0.0
53,NASH w/o cirrhosis,JUNB,105,0.0381,0.0286,0.0095,0.0038,0.0
53,NASH w/o cirrhosis,JUND,105,0.0571,0.0571,0.0,0.0227,0.0
53,NASH w/o cirrhosis,ATF3,105,0.019,0.019,0.0,0.0227,0.0152
53,NASH w/o cirrhosis,DUSP1,105,0.0952,0.0762,0.019,0.0417,0.0
53,NASH w/o cirrhosis,HSPA1A,105,0.0,0.0,0.0,0.0,0.0
53,NASH w/o cirrhosis,HSPA1B,105,0.0,0.0,0.0,0.0,0.0
53,NASH w/o cirrhosis,GLUL,105,0.3714,0.181,0.0667,0.2045,0.1061
53,NASH w/o cirrhosis,CYP3A4,105,0.6,0.219,0.1048,0.3371,0.1061
53,NASH w/o cirrhosis,CYP2E1,105,7.2286,0.8476,0.6762,2.6667,0.7121
53,NASH w/o cirrhosis,CYP1A2,105,0.5238,0.2857,0.1048,0.2614,0.1212
53,NASH w/o cirrhosis,ADH4,105,5.0,0.8952,0.6381,1.7576,0.803
53,NASH w/o cirrhosis,AKR1D1,105,0.9714,0.419,0.181,0.3144,0.0909
53,NASH w/o cirrhosis,SLCO1B3,105,6.1429,0.6,0.4667,2.2879,0.5303
53,NASH w/o cirrhosis,ASS1,105,0.8857,0.3524,0.1333,0.2348,0.1061
53,NASH w/o cirrhosis,CPS1,105,7.2,0.8571,0.7048,2.4318,0.8636
53,NASH w/o cirrhosis,PCK1,105,0.3143,0.181,0.0667,0.1212,0.0303
53,NASH w/o cirrhosis,ALDOB,105,1.8286,0.419,0.2762,0.6023,0.303
53,NASH w/o cirrhosis,HAL,105,0.9905,0.2571,0.1714,0.3561,0.1667
53,NASH w/o cirrhosis,ARG1,105,0.7048,0.3905,0.1524,0.2538,0.0909
53,NASH w/o cirrhosis,ALB,105,19.3524,1.0,0.9619,6.5795,1.0
53,NASH w/o cirrhosis,ACTB,105,0.1333,0.1143,0.0095,0.0265,0.0
53,NASH w/o cirrhosis,GAPDH,105,0.0667,0.0571,0.0095,0.0492,0.0303
53,NASH w/o cirrhosis,stress_mod,105,0.2762,0.2,0.0381,0.1023,0.0152
54,NASH w/o cirrhosis,FOS,838,0.0024,0.0024,0.0,0.0003,0.0
54,NASH w/o cirrhosis,JUN,838,0.0895,0.0704,0.0131,0.0169,0.0026
54,NASH w/o cirrhosis,JUNB,838,0.0286,0.0286,0.0,0.0068,0.0
54,NASH w/o cirrhosis,JUND,838,0.0979,0.0871,0.0095,0.0215,0.0
54,NASH w/o cirrhosis,ATF3,838,0.0394,0.0358,0.0024,0.0137,0.0065
54,NASH w/o cirrhosis,DUSP1,838,0.0358,0.0322,0.0036,0.0068,0.0013
54,NASH w/o cirrhosis,HSPA1A,838,0.0072,0.0072,0.0,0.002,0.0
54,NASH w/o cirrhosis,HSPA1B,838,0.0072,0.0072,0.0,0.0013,0.0
54,NASH w/o cirrhosis,GLUL,838,0.6456,0.2768,0.1169,0.1456,0.0429
54,NASH w/o cirrhosis,CYP3A4,838,2.1301,0.3735,0.2232,0.393,0.1404
54,NASH w/o cirrhosis,CYP2E1,838,12.2828,0.9165,0.8079,2.5809,0.723
54,NASH w/o cirrhosis,CYP1A2,838,0.4797,0.2136,0.0967,0.0969,0.0312
54,NASH w/o cirrhosis,ADH4,838,11.9189,0.9224,0.8234,2.0884,0.7815
54,NASH w/o cirrhosis,AKR1D1,838,3.1647,0.71,0.5334,0.5696,0.2523
54,NASH w/o cirrhosis,SLCO1B3,838,14.4153,0.7566,0.5943,2.4278,0.5254
54,NASH w/o cirrhosis,ASS1,838,1.3389,0.5525,0.2971,0.2965,0.0988
54,NASH w/o cirrhosis,CPS1,838,10.315,0.9224,0.8377,1.8791,0.7568
54,NASH w/o cirrhosis,PCK1,838,0.6551,0.2816,0.1337,0.1453,0.052
54,NASH w/o cirrhosis,ALDOB,838,2.9761,0.7375,0.5358,0.5774,0.2484
54,NASH w/o cirrhosis,HAL,838,1.2112,0.3484,0.2041,0.2637,0.1092
54,NASH w/o cirrhosis,ARG1,838,2.29,0.716,0.4928,0.4639,0.1821
54,NASH w/o cirrhosis,ALB,838,23.6874,0.994,0.9523,4.5663,0.9285
54,NASH w/o cirrhosis,ACTB,838,0.1575,0.1348,0.0191,0.0348,0.0039
54,NASH w/o cirrhosis,GAPDH,838,0.0835,0.074,0.0084,0.0156,0.0
54,NASH w/o cirrhosis,stress_mod,838,0.3079,0.2291,0.0585,0.0696,0.0104
55,NAFLD,FOS,646,0.0,0.0,0.0,0.0,0.0
55,NAFLD,JUN,646,0.0248,0.0232,0.0015,0.0061,0.0
55,NAFLD,JUNB,646,0.0372,0.0356,0.0015,0.0061,0.0
55,NAFLD,JUND,646,0.1223,0.1161,0.0046,0.0314,0.0016
55,NAFLD,ATF3,646,0.0341,0.0294,0.0046,0.0049,0.0
55,NAFLD,DUSP1,646,0.161,0.1362,0.0217,0.0294,0.0016
55,NAFLD,HSPA1A,646,0.0201,0.0201,0.0,0.002,0.0
55,NAFLD,HSPA1B,646,0.017,0.017,0.0,0.0045,0.0
55,NAFLD,GLUL,646,1.3622,0.2941,0.1471,0.1774,0.0653
55,NAFLD,CYP3A4,646,6.1997,0.6672,0.4768,0.8626,0.3181
55,NAFLD,CYP2E1,646,22.5619,0.9861,0.9613,3.71,0.9103
55,NAFLD,CYP1A2,646,0.5217,0.1889,0.0851,0.071,0.0179
55,NAFLD,ADH4,646,21.0557,0.969,0.9319,2.9262,0.9299
55,NAFLD,AKR1D1,646,4.8622,0.805,0.6502,0.6754,0.2871
55,NAFLD,SLCO1B3,646,22.7817,0.8963,0.7864,3.0131,0.6591
55,NAFLD,ASS1,646,3.9923,0.7632,0.5449,0.7349,0.2398
55,NAFLD,CPS1,646,20.2616,0.9768,0.9334,2.9494,0.8972
55,NAFLD,PCK1,646,0.9381,0.3437,0.1749,0.1542,0.044
55,NAFLD,ALDOB,646,6.209,0.8483,0.7028,0.905,0.429
55,NAFLD,HAL,646,0.8932,0.2337,0.13,0.148,0.0473
55,NAFLD,ARG1,646,3.5464,0.8375,0.6471,0.5587,0.2219
55,NAFLD,ALB,646,32.9025,0.9923,0.9892,5.1721,0.9804
55,NAFLD,ACTB,646,0.1811,0.1517,0.0232,0.0371,0.0049
55,NAFLD,GAPDH,646,0.1858,0.1625,0.0201,0.0371,0.0016
55,NAFLD,stress_mod,646,0.4164,0.3266,0.0743,0.0824,0.0082
56,NAFLD,FOS,505,0.0079,0.0079,0.0,0.0025,0.0
56,NAFLD,JUN,505,0.0871,0.0653,0.0079,0.0155,0.002
56,NAFLD,JUNB,505,0.0277,0.0277,0.0,0.0075,0.0
56,NAFLD,JUND,505,0.1762,0.1545,0.0158,0.0375,0.002
56,NAFLD,ATF3,505,0.0772,0.0693,0.0079,0.019,0.002
56,NAFLD,DUSP1,505,0.0891,0.0752,0.0099,0.017,0.002
56,NAFLD,HSPA1A,505,0.0079,0.0079,0.0,0.001,0.0
56,NAFLD,HSPA1B,505,0.0119,0.0119,0.0,0.001,0.0
56,NAFLD,GLUL,505,1.2218,0.3287,0.1366,0.187,0.072
56,NAFLD,CYP3A4,505,11.8356,0.8851,0.7901,2.0635,0.668
56,NAFLD,CYP2E1,505,20.9149,0.9901,0.9604,4.1095,0.902
56,NAFLD,CYP1A2,505,0.5168,0.2198,0.1089,0.0865,0.022
56,NAFLD,ADH4,505,14.3208,0.9842,0.9465,2.518,0.904
56,NAFLD,AKR1D1,505,1.7624,0.5802,0.3485,0.3155,0.11
56,NAFLD,SLCO1B3,505,24.9386,0.9069,0.8356,3.9,0.776
56,NAFLD,ASS1,505,2.7168,0.7347,0.4911,0.6955,0.25
56,NAFLD,CPS1,505,10.9168,0.9505,0.8614,1.9115,0.73
56,NAFLD,PCK1,505,4.3624,0.8297,0.6535,0.9345,0.428
56,NAFLD,ALDOB,505,4.7366,0.8455,0.6733,0.9185,0.428
56,NAFLD,HAL,505,0.701,0.2554,0.1307,0.2,0.084
56,NAFLD,ARG1,505,1.6614,0.6812,0.4119,0.3425,0.116
56,NAFLD,ALB,505,23.9881,0.9901,0.9861,4.7415,0.972
56,NAFLD,ACTB,505,0.1723,0.1525,0.0139,0.0425,0.01
56,NAFLD,GAPDH,505,0.1287,0.1069,0.0178,0.028,0.002
56,NAFLD,stress_mod,505,0.4851,0.3426,0.0871,0.103,0.016
57,NASH w/o cirrhosis,FOS,470,0.0128,0.0128,0.0,0.0055,0.0
57,NASH w/o cirrhosis,JUN,470,0.083,0.0745,0.0064,0.0153,0.0
57,NASH w/o cirrhosis,JUNB,470,0.0574,0.0574,0.0,0.0219,0.0044
57,NASH w/o cirrhosis,JUND,470,0.1915,0.1702,0.0191,0.0449,0.0044
57,NASH w/o cirrhosis,ATF3,470,0.0489,0.0447,0.0021,0.0115,0.0022
57,NASH w/o cirrhosis,DUSP1,470,0.0532,0.0511,0.0021,0.012,0.0022
57,NASH w/o cirrhosis,HSPA1A,470,0.0426,0.0404,0.0021,0.0082,0.0
57,NASH w/o cirrhosis,HSPA1B,470,0.0085,0.0085,0.0,0.0049,0.0022
57,NASH w/o cirrhosis,GLUL,470,0.517,0.2255,0.0851,0.1034,0.035
57,NASH w/o cirrhosis,CYP3A4,470,3.9021,0.6638,0.4404,0.7226,0.2867
57,NASH w/o cirrhosis,CYP2E1,470,9.3745,0.9532,0.8702,1.9524,0.744
57,NASH w/o cirrhosis,CYP1A2,470,0.5106,0.234,0.0894,0.0985,0.0284
57,NASH w/o cirrhosis,ADH4,470,11.4489,0.9617,0.9021,2.1034,0.8315
57,NASH w/o cirrhosis,AKR1D1,470,2.8681,0.7255,0.5149,0.546,0.2407
57,NASH w/o cirrhosis,SLCO1B3,470,8.1745,0.7681,0.5702,1.4245,0.442
57,NASH w/o cirrhosis,ASS1,470,2.017,0.6532,0.4043,0.4486,0.1554
57,NASH w/o cirrhosis,CPS1,470,9.6574,0.9362,0.8255,1.7648,0.7024
57,NASH w/o cirrhosis,PCK1,470,1.3489,0.5064,0.2404,0.2702,0.0919
57,NASH w/o cirrhosis,ALDOB,470,5.8468,0.8894,0.7085,1.0678,0.5055
57,NASH w/o cirrhosis,HAL,470,0.3638,0.1745,0.066,0.0788,0.0241
57,NASH w/o cirrhosis,ARG1,470,1.5298,0.5809,0.3064,0.2686,0.0744
57,NASH w/o cirrhosis,ALB,470,23.3745,0.9936,0.9766,4.587,0.9519
57,NASH w/o cirrhosis,ACTB,470,0.4872,0.3426,0.1,0.1455,0.0481
57,NASH w/o cirrhosis,GAPDH,470,0.2872,0.2255,0.0574,0.0646,0.0131
57,NASH w/o cirrhosis,stress_mod,470,0.4979,0.3596,0.0957,0.1176,0.0153
6,NAFLD,FOS,2811,0.0046,0.0046,0.0,0.0012,0.0
6,NAFLD,JUN,2811,0.0235,0.0213,0.0021,0.0049,0.0004
6,NAFLD,JUNB,2811,0.0189,0.0164,0.0021,0.0024,0.0
6,NAFLD,JUND,2811,0.095,0.085,0.0082,0.0161,0.0015
6,NAFLD,ATF3,2811,0.0309,0.0281,0.0025,0.0043,0.0
6,NAFLD,DUSP1,2811,0.1341,0.1128,0.0164,0.0205,0.0029
6,NAFLD,HSPA1A,2811,0.0295,0.0238,0.0021,0.0062,0.0015
6,NAFLD,HSPA1B,2811,0.0185,0.0157,0.0025,0.005,0.0015
6,NAFLD,GLUL,2811,0.8196,0.2191,0.0825,0.1129,0.0373
6,NAFLD,CYP3A4,2811,3.7464,0.5934,0.4016,0.5722,0.2261
6,NAFLD,CYP2E1,2811,16.5009,0.9566,0.8897,2.7332,0.7663
6,NAFLD,CYP1A2,2811,0.7613,0.3219,0.1469,0.1299,0.038
6,NAFLD,ADH4,2811,17.9385,0.9708,0.9235,2.5881,0.8298
6,NAFLD,AKR1D1,2811,2.3259,0.6784,0.4561,0.3468,0.1238
6,NAFLD,SLCO1B3,2811,17.5382,0.8577,0.7143,2.5174,0.5636
6,NAFLD,ASS1,2811,3.7588,0.7663,0.5628,0.6394,0.252
6,NAFLD,CPS1,2811,30.6592,0.9886,0.973,4.446,0.9412
6,NAFLD,PCK1,2811,5.4628,0.8481,0.6944,0.8442,0.3791
6,NAFLD,ALDOB,2811,13.8758,0.9758,0.9264,2.0865,0.7827
6,NAFLD,HAL,2811,1.5464,0.3977,0.2412,0.2492,0.0953
6,NAFLD,ARG1,2811,2.8268,0.7812,0.5824,0.4252,0.1549
6,NAFLD,ALB,2811,55.2017,1.0,1.0,9.118,0.9974
6,NAFLD,ACTB,2811,0.1284,0.1092,0.0142,0.026,0.0029
6,NAFLD,GAPDH,2811,0.1704,0.1466,0.0203,0.03,0.004
6,NAFLD,stress_mod,2811,0.355,0.2579,0.0647,0.0615,0.011
60,NAFLD,FOS,903,0.0,0.0,0.0,0.0,0.0
60,NAFLD,JUN,903,0.0144,0.0144,0.0,0.0049,0.0026
60,NAFLD,JUNB,903,0.0066,0.0066,0.0,0.0013,0.0
60,NAFLD,JUND,903,0.0343,0.0343,0.0,0.0169,0.0039
60,NAFLD,ATF3,903,0.0122,0.0122,0.0,0.0033,0.0
60,NAFLD,DUSP1,903,0.0354,0.0343,0.0011,0.0124,0.0013
60,NAFLD,HSPA1A,903,0.0066,0.0066,0.0,0.0033,0.0
60,NAFLD,HSPA1B,903,0.01,0.01,0.0,0.0046,0.0026
60,NAFLD,GLUL,903,0.4109,0.1783,0.0587,0.1623,0.0574
60,NAFLD,CYP3A4,903,2.2038,0.6013,0.3854,0.8416,0.3625
60,NAFLD,CYP2E1,903,13.3223,0.979,0.9435,5.5926,0.9192
60,NAFLD,CYP1A2,903,1.0354,0.4042,0.2071,0.4061,0.1877
60,NAFLD,ADH4,903,6.9336,0.9502,0.8616,2.5554,0.8892
60,NAFLD,AKR1D1,903,1.361,0.557,0.3045,0.5192,0.2321
60,NAFLD,SLCO1B3,903,9.8494,0.8704,0.7276,3.4478,0.7262
60,NAFLD,ASS1,903,1.1539,0.5537,0.2868,0.5,0.2177
60,NAFLD,CPS1,903,5.6478,0.9136,0.763,2.0743,0.7953
60,NAFLD,PCK1,903,0.2503,0.1717,0.0443,0.0916,0.0248
60,NAFLD,ALDOB,903,1.1595,0.5282,0.2702,0.4394,0.193
60,NAFLD,HAL,903,0.3998,0.1905,0.0875,0.163,0.0691
60,NAFLD,ARG1,903,0.887,0.485,0.206,0.3351,0.1421
60,NAFLD,ALB,903,16.2757,0.9956,0.9867,6.455,0.9974
60,NAFLD,ACTB,903,0.0886,0.0797,0.0089,0.0407,0.0104
60,NAFLD,GAPDH,903,0.072,0.0653,0.0033,0.0257,0.0052
60,NAFLD,stress_mod,903,0.1196,0.1096,0.0089,0.046,0.0104
62,NASH w/o cirrhosis,FOS,408,0.0,0.0,0.0,0.0,0.0
62,NASH w/o cirrhosis,JUN,408,0.0074,0.0074,0.0,0.0,0.0
62,NASH w/o cirrhosis,JUNB,408,0.0172,0.0172,0.0,0.0116,0.0
62,NASH w/o cirrhosis,JUND,408,0.0245,0.0245,0.0,0.0089,0.0036
62,NASH w/o cirrhosis,ATF3,408,0.0319,0.0294,0.0025,0.0196,0.0071
62,NASH w/o cirrhosis,DUSP1,408,0.0588,0.0539,0.0049,0.032,0.0107
62,NASH w/o cirrhosis,HSPA1A,408,0.0074,0.0049,0.0025,0.0053,0.0036
62,NASH w/o cirrhosis,HSPA1B,408,0.0025,0.0025,0.0,0.0,0.0
62,NASH w/o cirrhosis,GLUL,408,0.1642,0.1103,0.0245,0.0925,0.032
62,NASH w/o cirrhosis,CYP3A4,408,0.5637,0.3113,0.098,0.3648,0.1423
62,NASH w/o cirrhosis,CYP2E1,408,7.9632,0.9804,0.9265,4.7705,0.9288
62,NASH w/o cirrhosis,CYP1A2,408,0.2647,0.1789,0.0515,0.1539,0.0641
62,NASH w/o cirrhosis,ADH4,408,3.1471,0.8333,0.6275,1.798,0.7082
62,NASH w/o cirrhosis,AKR1D1,408,0.6029,0.3382,0.1324,0.3292,0.1459
62,NASH w/o cirrhosis,SLCO1B3,408,1.8603,0.5245,0.2941,1.1041,0.3665
62,NASH w/o cirrhosis,ASS1,408,2.5833,0.8358,0.5466,1.5507,0.637
62,NASH w/o cirrhosis,CPS1,408,8.6275,0.9853,0.9265,5.0222,0.968
62,NASH w/o cirrhosis,PCK1,408,0.152,0.1275,0.0147,0.0899,0.032
62,NASH w/o cirrhosis,ALDOB,408,2.1176,0.7328,0.4657,1.2046,0.5516
62,NASH w/o cirrhosis,HAL,408,0.5049,0.3064,0.1103,0.2731,0.1352
62,NASH w/o cirrhosis,ARG1,408,0.6078,0.4191,0.1397,0.3577,0.1601
62,NASH w/o cirrhosis,ALB,408,9.902,0.9926,0.9681,5.8852,0.9929
62,NASH w/o cirrhosis,ACTB,408,0.076,0.0735,0.0025,0.0436,0.0142
62,NASH w/o cirrhosis,GAPDH,408,0.0833,0.0711,0.0098,0.0507,0.0178
62,NASH w/o cirrhosis,stress_mod,408,0.1495,0.125,0.0196,0.0765,0.032
64,NASH w/o cirrhosis,FOS,750,0.0173,0.0147,0.0027,0.0042,0.0
64,NASH w/o cirrhosis,JUN,750,0.0933,0.08,0.012,0.0194,0.0028
64,NASH w/o cirrhosis,JUNB,750,0.056,0.0493,0.0053,0.0087,0.0014
64,NASH w/o cirrhosis,JUND,750,0.1147,0.0973,0.0173,0.0215,0.0042
64,NASH w/o cirrhosis,ATF3,750,0.0467,0.0453,0.0013,0.0118,0.0
64,NASH w/o cirrhosis,DUSP1,750,0.0893,0.0747,0.0107,0.0118,0.0
64,NASH w/o cirrhosis,HSPA1A,750,0.0107,0.0107,0.0,0.0014,0.0
64,NASH w/o cirrhosis,HSPA1B,750,0.0093,0.0093,0.0,0.0014,0.0
64,NASH w/o cirrhosis,GLUL,750,1.3027,0.3733,0.1653,0.2042,0.0722
64,NASH w/o cirrhosis,CYP3A4,750,4.8173,0.6333,0.448,0.7753,0.2833
64,NASH w/o cirrhosis,CYP2E1,750,14.2293,0.9293,0.8293,2.451,0.7153
64,NASH w/o cirrhosis,CYP1A2,750,1.748,0.516,0.3227,0.309,0.1167
64,NASH w/o cirrhosis,ADH4,750,10.484,0.9227,0.8213,1.6267,0.6722
64,NASH w/o cirrhosis,AKR1D1,750,2.996,0.7173,0.5107,0.4639,0.1889
64,NASH w/o cirrhosis,SLCO1B3,750,13.108,0.7307,0.5947,1.8938,0.4833
64,NASH w/o cirrhosis,ASS1,750,1.1987,0.5347,0.2933,0.201,0.0583
64,NASH w/o cirrhosis,CPS1,750,12.7947,0.9653,0.8987,2.0132,0.7903
64,NASH w/o cirrhosis,PCK1,750,2.2173,0.6347,0.4093,0.3983,0.1486
64,NASH w/o cirrhosis,ALDOB,750,4.0413,0.804,0.6093,0.6396,0.3
64,NASH w/o cirrhosis,HAL,750,1.0133,0.324,0.176,0.1781,0.0639
64,NASH w/o cirrhosis,ARG1,750,2.7747,0.7693,0.572,0.4587,0.1931
64,NASH w/o cirrhosis,ALB,750,29.2693,0.996,0.9813,5.0646,0.9569
64,NASH w/o cirrhosis,ACTB,750,0.2707,0.2053,0.0493,0.0444,0.0028
64,NASH w/o cirrhosis,GAPDH,750,0.2293,0.1773,0.0373,0.0403,0.0028
64,NASH w/o cirrhosis,stress_mod,750,0.4373,0.3107,0.0907,0.0788,0.0083
67,NASH w/o cirrhosis,FOS,1496,0.0,0.0,0.0,0.0,0.0
67,NASH w/o cirrhosis,JUN,1496,0.0481,0.0428,0.0053,0.016,0.0054
67,NASH w/o cirrhosis,JUNB,1496,0.0094,0.0094,0.0,0.0034,0.0007
67,NASH w/o cirrhosis,JUND,1496,0.0368,0.0368,0.0,0.0153,0.006
67,NASH w/o cirrhosis,ATF3,1496,0.0221,0.0201,0.002,0.0071,0.002
67,NASH w/o cirrhosis,DUSP1,1496,0.0287,0.0274,0.0013,0.0089,0.0013
67,NASH w/o cirrhosis,HSPA1A,1496,0.0201,0.0201,0.0,0.0059,0.0007
67,NASH w/o cirrhosis,HSPA1B,1496,0.0107,0.0107,0.0,0.0032,0.0007
67,NASH w/o cirrhosis,GLUL,1496,0.2045,0.1404,0.0274,0.0683,0.0188
67,NASH w/o cirrhosis,CYP3A4,1496,1.0301,0.4218,0.1959,0.3019,0.1202
67,NASH w/o cirrhosis,CYP2E1,1496,8.3656,0.9652,0.8897,2.7344,0.8005
67,NASH w/o cirrhosis,CYP1A2,1496,0.123,0.0956,0.016,0.0393,0.0101
67,NASH w/o cirrhosis,ADH4,1496,9.2206,0.9713,0.9151,2.6064,0.8825
67,NASH w/o cirrhosis,AKR1D1,1496,2.0401,0.6725,0.4218,0.5519,0.2525
67,NASH w/o cirrhosis,SLCO1B3,1496,5.387,0.8489,0.6491,1.5316,0.5413
67,NASH w/o cirrhosis,ASS1,1496,0.3456,0.2493,0.0662,0.1056,0.0296
67,NASH w/o cirrhosis,CPS1,1496,8.3496,0.9679,0.893,2.4211,0.857
67,NASH w/o cirrhosis,PCK1,1496,0.2741,0.1771,0.0528,0.0977,0.0423
67,NASH w/o cirrhosis,ALDOB,1496,3.7574,0.8376,0.629,1.0604,0.4976
67,NASH w/o cirrhosis,HAL,1496,0.3102,0.1778,0.0595,0.0902,0.0302
67,NASH w/o cirrhosis,ARG1,1496,1.1417,0.5869,0.2934,0.3435,0.1397
67,NASH w/o cirrhosis,ALB,1496,13.2747,0.9926,0.9572,3.9787,0.9335
67,NASH w/o cirrhosis,ACTB,1496,0.0595,0.0548,0.004,0.0171,0.0047
67,NASH w/o cirrhosis,GAPDH,1496,0.0588,0.0568,0.002,0.0185,0.004
67,NASH w/o cirrhosis,stress_mod,1496,0.1758,0.1517,0.0214,0.0601,0.0175
68,NASH with cirrhosis,FOS,518,0.0058,0.0058,0.0,0.0011,0.0
68,NASH with cirrhosis,JUN,518,0.0618,0.056,0.0039,0.0233,0.0063
68,NASH with cirrhosis,JUNB,518,0.0193,0.0193,0.0,0.0069,0.0
68,NASH with cirrhosis,JUND,518,0.1486,0.1255,0.0193,0.0518,0.0106
68,NASH with cirrhosis,ATF3,518,0.0425,0.0386,0.0039,0.0169,0.0021
68,NASH with cirrhosis,DUSP1,518,0.0483,0.0425,0.0039,0.019,0.0063
68,NASH with cirrhosis,HSPA1A,518,0.0193,0.0174,0.0019,0.0095,0.0063
68,NASH with cirrhosis,HSPA1B,518,0.0135,0.0135,0.0,0.0037,0.0
68,NASH with cirrhosis,GLUL,518,0.5135,0.2259,0.1004,0.1411,0.0529
68,NASH with cirrhosis,CYP3A4,518,4.4633,0.7471,0.5097,1.1712,0.4715
68,NASH with cirrhosis,CYP2E1,518,13.2741,0.973,0.9266,4.2394,0.8985
