donor,stage,gene,nCells,raw_mean,det1,det2,dm_mean,dm_det1
15,NASH w/o cirrhosis,ALDOB,976,6.3361,0.9027,0.7561,1.7227,0.7053
15,NASH w/o cirrhosis,HAL,976,0.5543,0.2049,0.1178,0.1763,0.0828
15,NASH w/o cirrhosis,ARG1,976,1.3576,0.5799,0.3299,0.3836,0.149
15,NASH w/o cirrhosis,ALB,976,16.6752,0.9857,0.9549,4.5905,0.9349
15,NASH w/o cirrhosis,ACTB,976,0.0482,0.0482,0.0,0.0143,0.0011
15,NASH w/o cirrhosis,GAPDH,976,0.0553,0.0492,0.0051,0.0188,0.0022
15,NASH w/o cirrhosis,stress_mod,976,0.1732,0.1434,0.0246,0.0488,0.0099
16,NASH w/o cirrhosis,FOS,2149,0.0098,0.0065,0.0014,0.0017,0.0
16,NASH w/o cirrhosis,JUN,2149,0.0745,0.0628,0.0084,0.0107,0.0014
16,NASH w/o cirrhosis,JUNB,2149,0.0163,0.0154,0.0009,0.0029,0.0005
16,NASH w/o cirrhosis,JUND,2149,0.0521,0.0484,0.0033,0.0094,0.0005
16,NASH w/o cirrhosis,ATF3,2149,0.0354,0.0326,0.0023,0.0067,0.0
16,NASH w/o cirrhosis,DUSP1,2149,0.0591,0.0512,0.0056,0.0108,0.0014
16,NASH w/o cirrhosis,HSPA1A,2149,0.0093,0.0093,0.0,0.0015,0.0
16,NASH w/o cirrhosis,HSPA1B,2149,0.0047,0.0047,0.0,0.0013,0.0
16,NASH w/o cirrhosis,GLUL,2149,0.2741,0.1698,0.0479,0.0445,0.0109
16,NASH w/o cirrhosis,CYP3A4,2149,3.1456,0.5924,0.3881,0.4889,0.1785
16,NASH w/o cirrhosis,CYP2E1,2149,9.7683,0.8785,0.7631,1.5877,0.5474
16,NASH w/o cirrhosis,CYP1A2,2149,0.2443,0.1354,0.0475,0.042,0.01
16,NASH w/o cirrhosis,ADH4,2149,12.8157,0.9618,0.8944,1.9447,0.7358
16,NASH w/o cirrhosis,AKR1D1,2149,2.3997,0.7022,0.4714,0.3666,0.1337
16,NASH w/o cirrhosis,SLCO1B3,2149,7.1726,0.6845,0.5133,1.1082,0.3341
16,NASH w/o cirrhosis,ASS1,2149,2.0512,0.6719,0.4309,0.3463,0.118
16,NASH w/o cirrhosis,CPS1,2149,11.403,0.9642,0.8972,1.7441,0.7006
16,NASH w/o cirrhosis,PCK1,2149,1.4737,0.503,0.2745,0.2245,0.0752
16,NASH w/o cirrhosis,ALDOB,2149,6.6598,0.9335,0.8306,1.0414,0.4955
16,NASH w/o cirrhosis,HAL,2149,1.3169,0.3965,0.2392,0.2208,0.0852
