donor,stage,source,gene,nCells,raw_mean,dm_mean,det1,det2
22,NASH with cirrhosis,needle_biopsy,FOS,2073,0.0029,0.0009,0.0029,0.0
22,NASH with cirrhosis,needle_biopsy,JUN,2073,0.0449,0.0178,0.04,0.0043
22,NASH with cirrhosis,needle_biopsy,JUNB,2073,0.0048,0.0023,0.0048,0.0
22,NASH with cirrhosis,needle_biopsy,JUND,2073,0.0294,0.0101,0.026,0.0029
22,NASH with cirrhosis,needle_biopsy,ATF3,2073,0.015,0.0056,0.014,0.001
22,NASH with cirrhosis,needle_biopsy,DUSP1,2073,0.0101,0.0047,0.0101,0.0
22,NASH with cirrhosis,needle_biopsy,HSPA1A,2073,0.0159,0.0075,0.0154,0.0005
22,NASH with cirrhosis,needle_biopsy,HSPA1B,2073,0.0092,0.0038,0.0092,0.0
22,NASH with cirrhosis,needle_biopsy,stress_mod,2073,0.1322,0.0518,0.1153,0.0135
3,NASH w/o cirrhosis,needle_biopsy,FOS,1441,0.0021,0.0007,0.0021,0.0
3,NASH w/o cirrhosis,needle_biopsy,JUN,1441,0.0534,0.0075,0.0479,0.0049
3,NASH w/o cirrhosis,needle_biopsy,JUNB,1441,0.0201,0.0032,0.018,0.0014
3,NASH w/o cirrhosis,needle_biopsy,JUND,1441,0.1312,0.0172,0.1173,0.0104
3,NASH w/o cirrhosis,needle_biopsy,ATF3,1441,0.0285,0.0028,0.0271,0.0014
3,NASH w/o cirrhosis,needle_biopsy,DUSP1,1441,0.0541,0.0063,0.0507,0.0035
3,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1441,0.0354,0.0046,0.0333,0.0021
3,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1441,0.0083,0.0014,0.0083,0.0
3,NASH w/o cirrhosis,needle_biopsy,stress_mod,1441,0.3331,0.0433,0.2588,0.0507
30,Healthy control,healthy(deceased-donor),FOS,964,0.0,0.0,0.0,0.0
30,Healthy control,healthy(deceased-donor),JUN,964,0.0342,0.0026,0.029,0.0031
30,Healthy control,healthy(deceased-donor),JUNB,964,0.0114,0.0023,0.0104,0.001
30,Healthy control,healthy(deceased-donor),JUND,964,0.0405,0.0054,0.0363,0.0021
30,Healthy control,healthy(deceased-donor),ATF3,964,0.0405,0.0041,0.0373,0.0031
30,Healthy control,healthy(deceased-donor),DUSP1,964,0.0239,0.0039,0.0218,0.001
30,Healthy control,healthy(deceased-donor),HSPA1A,964,0.0311,0.0034,0.0301,0.001
30,Healthy control,healthy(deceased-donor),HSPA1B,964,0.0135,0.001,0.0135,0.0
30,Healthy control,healthy(deceased-donor),stress_mod,964,0.195,0.0223,0.1618,0.0249
48,NASH w/o cirrhosis,needle_biopsy,FOS,803,0.0162,0.0065,0.0162,0.0
48,NASH w/o cirrhosis,needle_biopsy,JUN,803,0.0274,0.013,0.0274,0.0
48,NASH w/o cirrhosis,needle_biopsy,JUNB,803,0.0137,0.0038,0.0125,0.0012
48,NASH w/o cirrhosis,needle_biopsy,JUND,803,0.0486,0.0198,0.0461,0.0025
48,NASH w/o cirrhosis,needle_biopsy,ATF3,803,0.0772,0.0236,0.066,0.0087
48,NASH w/o cirrhosis,needle_biopsy,DUSP1,803,0.0187,0.0092,0.0174,0.0012
48,NASH w/o cirrhosis,needle_biopsy,HSPA1A,803,0.005,0.001,0.005,0.0
48,NASH w/o cirrhosis,needle_biopsy,HSPA1B,803,0.0125,0.0051,0.0125,0.0
48,NASH w/o cirrhosis,needle_biopsy,stress_mod,803,0.2192,0.08,0.1806,0.0286
49,NASH w/o cirrhosis,needle_biopsy,FOS,1775,0.0017,0.0003,0.0017,0.0
49,NASH w/o cirrhosis,needle_biopsy,JUN,1775,0.0361,0.0056,0.0327,0.0023
49,NASH w/o cirrhosis,needle_biopsy,JUNB,1775,0.0169,0.0026,0.0158,0.0011
49,NASH w/o cirrhosis,needle_biopsy,JUND,1775,0.1042,0.0145,0.0941,0.0096
49,NASH w/o cirrhosis,needle_biopsy,ATF3,1775,0.0406,0.0054,0.0377,0.0028
49,NASH w/o cirrhosis,needle_biopsy,DUSP1,1775,0.0518,0.0067,0.0445,0.0051
49,NASH w/o cirrhosis,needle_biopsy,HSPA1A,1775,0.0214,0.0041,0.0214,0.0
49,NASH w/o cirrhosis,needle_biopsy,HSPA1B,1775,0.0051,0.0015,0.0051,0.0
49,NASH w/o cirrhosis,needle_biopsy,stress_mod,1775,0.2777,0.0404,0.2186,0.0451
50,NASH w/o cirrhosis,needle_biopsy,FOS,789,0.0089,0.0014,0.0076,0.0013
50,NASH w/o cirrhosis,needle_biopsy,JUN,789,0.0862,0.018,0.0646,0.0177
50,NASH w/o cirrhosis,needle_biopsy,JUNB,789,0.0722,0.0085,0.0532,0.0101
50,NASH w/o cirrhosis,needle_biopsy,JUND,789,0.1825,0.0364,0.1546,0.0228
50,NASH w/o cirrhosis,needle_biopsy,ATF3,789,0.0406,0.0061,0.0355,0.0038
50,NASH w/o cirrhosis,needle_biopsy,DUSP1,789,0.0545,0.0071,0.0494,0.0051
50,NASH w/o cirrhosis,needle_biopsy,HSPA1A,789,0.0355,0.0068,0.033,0.0025
50,NASH w/o cirrhosis,needle_biopsy,HSPA1B,789,0.0215,0.0054,0.0203,0.0013
50,NASH w/o cirrhosis,needle_biopsy,stress_mod,789,0.5019,0.0871,0.3409,0.0951
51,NAFLD,needle_biopsy,FOS,786,0.0064,0.0028,0.0038,0.0013
51,NAFLD,needle_biopsy,JUN,786,0.0331,0.0091,0.028,0.0051
51,NAFLD,needle_biopsy,JUNB,786,0.028,0.0063,0.0267,0.0013
51,NAFLD,needle_biopsy,JUND,786,0.0776,0.02,0.0687,0.0089
51,NAFLD,needle_biopsy,ATF3,786,0.0318,0.0081,0.0305,0.0013
51,NAFLD,needle_biopsy,DUSP1,786,0.0534,0.0116,0.0496,0.0038
51,NAFLD,needle_biopsy,HSPA1A,786,0.0229,0.0077,0.0216,0.0013
51,NAFLD,needle_biopsy,HSPA1B,786,0.0102,0.0028,0.0102,0.0
51,NAFLD,needle_biopsy,stress_mod,786,0.2634,0.0687,0.2099,0.042
52,NASH w/o cirrhosis,needle_biopsy,FOS,148,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,needle_biopsy,JUN,148,0.027,0.0074,0.027,0.0
52,NASH w/o cirrhosis,needle_biopsy,JUNB,148,0.0405,0.0111,0.027,0.0135
52,NASH w/o cirrhosis,needle_biopsy,JUND,148,0.1014,0.0204,0.0946,0.0068
52,NASH w/o cirrhosis,needle_biopsy,ATF3,148,0.0405,0.0167,0.0405,0.0
52,NASH w/o cirrhosis,needle_biopsy,DUSP1,148,0.027,0.0111,0.027,0.0
52,NASH w/o cirrhosis,needle_biopsy,HSPA1A,148,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,needle_biopsy,HSPA1B,148,0.0,0.0,0.0,0.0
52,NASH w/o cirrhosis,needle_biopsy,stress_mod,148,0.2365,0.0648,0.2027,0.0338
53,NASH w/o cirrhosis,needle_biopsy,FOS,105,0.0286,0.0114,0.019,0.0095
53,NASH w/o cirrhosis,needle_biopsy,JUN,105,0.0381,0.0,0.0286,0.0095
53,NASH w/o cirrhosis,needle_biopsy,JUNB,105,0.0381,0.0038,0.0286,0.0095
53,NASH w/o cirrhosis,needle_biopsy,JUND,105,0.0571,0.0227,0.0571,0.0
53,NASH w/o cirrhosis,needle_biopsy,ATF3,105,0.019,0.0227,0.019,0.0
53,NASH w/o cirrhosis,needle_biopsy,DUSP1,105,0.0952,0.0417,0.0762,0.019
53,NASH w/o cirrhosis,needle_biopsy,HSPA1A,105,0.0,0.0,0.0,0.0
53,NASH w/o cirrhosis,needle_biopsy,HSPA1B,105,0.0,0.0,0.0,0.0
53,NASH w/o cirrhosis,needle_biopsy,stress_mod,105,0.2762,0.1023,0.2,0.0381
54,NASH w/o cirrhosis,needle_biopsy,FOS,838,0.0024,0.0003,0.0024,0.0
54,NASH w/o cirrhosis,needle_biopsy,JUN,838,0.0895,0.0169,0.0704,0.0131
54,NASH w/o cirrhosis,needle_biopsy,JUNB,838,0.0286,0.0068,0.0286,0.0
54,NASH w/o cirrhosis,needle_biopsy,JUND,838,0.0979,0.0215,0.0871,0.0095
54,NASH w/o cirrhosis,needle_biopsy,ATF3,838,0.0394,0.0137,0.0358,0.0024
54,NASH w/o cirrhosis,needle_biopsy,DUSP1,838,0.0358,0.0068,0.0322,0.0036
54,NASH w/o cirrhosis,needle_biopsy,HSPA1A,838,0.0072,0.002,0.0072,0.0
54,NASH w/o cirrhosis,needle_biopsy,HSPA1B,838,0.0072,0.0013,0.0072,0.0
54,NASH w/o cirrhosis,needle_biopsy,stress_mod,838,0.3079,0.0696,0.2291,0.0585
55,NAFLD,needle_biopsy,FOS,646,0.0,0.0,0.0,0.0
55,NAFLD,needle_biopsy,JUN,646,0.0248,0.0061,0.0232,0.0015
55,NAFLD,needle_biopsy,JUNB,646,0.0372,0.0061,0.0356,0.0015
55,NAFLD,needle_biopsy,JUND,646,0.1223,0.0314,0.1161,0.0046
55,NAFLD,needle_biopsy,ATF3,646,0.0341,0.0049,0.0294,0.0046
55,NAFLD,needle_biopsy,DUSP1,646,0.161,0.0294,0.1362,0.0217
55,NAFLD,needle_biopsy,HSPA1A,646,0.0201,0.002,0.0201,0.0
55,NAFLD,needle_biopsy,HSPA1B,646,0.017,0.0045,0.017,0.0
55,NAFLD,needle_biopsy,stress_mod,646,0.4164,0.0824,0.3266,0.0743
56,NAFLD,needle_biopsy,FOS,505,0.0079,0.0025,0.0079,0.0
